"","E_Scbltylag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","N_Deprlag","N_Anxtylag","N_EmoVollag","C_Prdctvlag","C_Rspnbllag","E_Scblty","E_EnerLev","A_Cmpn","A_Rspct","N_Depr","N_Anxty","N_EmoVol","C_Prdctv","C_Rspnbl","cumsumT"
"E_Scblty",0.1476,0,0,0,0,0,0,0,0,0,0.1461,0,0,0,0,0,0,0,0
"E_EnerLev",0.1223,0.122,0,0,0,0.1208,0,0,0,0,0,0.115,0,0,0,0,0.1197,0,0
"A_Cmpn",0,0,0.1491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_Rspct",0,0,0,0.1104,0,0,0.1147,0,0,0,0,0.1107,0,0.1115,0,0,0,0,0
"N_Depr",0,0,0,0,0.1245,0,0,0.1347,0.1381,0,0,0,0,0,0,0,0,0,0
"N_Anxty",0,0,0,0,0.1404,0.1386,0,0,0,0,0,0,0,0.1367,0,0,0,0,0
"N_EmoVol",0.1255,0,0,0,0,0,0.1276,0,0,0,0,0,0,0.1253,0,0,0,0,0
"C_Prdctv",0,0,0,0,0,0,0,0.1347,0,0,0,0,0,0,0,0,0,0.1347,0
"C_Rspnbl",0,0,0,0,0,0.1401,0,0,0.145,0,0,0,0,0,0,0,0,0,0
"cumsumT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
