"","cumsumT","E_Scbltylag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","N_Deprlag","N_Anxtylag","N_EmoVollag","C_Prdctvlag","C_Rspnbllag","E_Scblty","E_EnerLev","A_Cmpn","A_Rspct","N_Depr","N_Anxty","N_EmoVol","C_Prdctv","C_Rspnbl"
"cumsumT",1,0.1653,0.1488,-0.2885,-0.0675,0.0694,0.3807,0.2121,-0.0076,0.1021,0,0,0,0,0,0,0,0,0
"E_Scbltylag",0.1653,1,0.2426,0.0462,0.1793,-0.3443,-0.2073,-0.1659,0.0852,0.2235,0,0,0,0,0,0,0,0,0
"E_EnerLevlag",0.1488,0.2426,1,-0.1005,0.0405,-0.1304,0.037,-0.0437,0.2925,0.1864,0,0,0,0,0,0,0,0,0
"A_Cmpnlag",-0.2885,0.0462,-0.1005,1,0.0249,-0.0561,-0.2212,-0.1232,-0.1135,0.0417,0,0,0,0,0,0,0,0,0
"A_Rspctlag",-0.0675,0.1793,0.0405,0.0249,1,0.0572,-0.0607,0.1193,0.1492,0.1187,0,0,0,0,0,0,0,0,0
"N_Deprlag",0.0694,-0.3443,-0.1304,-0.0561,0.0572,1,0.4708,0.4618,-0.3513,-0.13,0,0,0,0,0,0,0,0,0
"N_Anxtylag",0.3807,-0.2073,0.037,-0.2212,-0.0607,0.4708,1,0.348,-0.2314,-0.2615,0,0,0,0,0,0,0,0,0
"N_EmoVollag",0.2121,-0.1659,-0.0437,-0.1232,0.1193,0.4618,0.348,1,-0.1804,-0.1328,0,0,0,0,0,0,0,0,0
"C_Prdctvlag",-0.0076,0.0852,0.2925,-0.1135,0.1492,-0.3513,-0.2314,-0.1804,1,0.313,0,0,0,0,0,0,0,0,0
"C_Rspnbllag",0.1021,0.2235,0.1864,0.0417,0.1187,-0.13,-0.2615,-0.1328,0.313,1,0,0,0,0,0,0,0,0,0
"E_Scblty",0,0,0,0,0,0,0,0,0,0,0.8036,0,0,0,0,0,0,0,0
"E_EnerLev",0,0,0,0,0,0,0,0,0,0,0,0.9897,0,0,0,0,0,0,0
"A_Cmpn",0,0,0,0,0,0,0,0,0,0,0,0,0.9914,0,0,0,0,0,0
"A_Rspct",0,0,0,0,0,0,0,0,0,0,0,0,0,0.8883,0,0,0,0,0
"N_Depr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7794,0,0,0,0
"N_Anxty",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6852,0,0,0
"N_EmoVol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7338,0,0
"C_Prdctv",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7339,0
"C_Rspnbl",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9996
