"","E_Scbltylag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","N_Deprlag","N_Anxtylag","N_EmoVollag","C_Prdctvlag","C_Rspnbllag","E_Scblty","E_EnerLev","A_Cmpn","A_Rspct","N_Depr","N_Anxty","N_EmoVol","C_Prdctv","C_Rspnbl","cumsumT"
"E_Scblty",0.1679,0,0,-0.2631,0,0,0,0,0,0,0,0,0,-0.3425,0,0,0,0,0
"E_EnerLev",0,-0.1015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_Cmpn",0,0,0.0927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_Rspct",0,-0.3345,0,0.0078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N_Depr",0,0,0,0,0.0221,0,0,0,0,0,0,0,0,0,0.4662,0,0,0,0
"N_Anxty",0,0,0,0,0,0.2316,0,0,0,0,0,0,0,0,0,0,0,-0.2861,0.344
"N_EmoVol",0,0,0,0,0,0,0.3219,0,0,0,0,0,0,0.3777,0,0,0,0,0
"C_Prdctv",0,0,0,0,0,0,0,-0.2059,0,0,0,0,0,-0.3404,0,0,0,0.2944,0
"C_Rspnbl",0,0,0,0,0,0,0,0,0.019,0,0,0,0,0,0,0,0,0,0
"cumsumT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
