"","E_Scbltylag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","N_Deprlag","N_Anxtylag","N_EmoVollag","C_Prdctvlag","C_Rspnbllag","E_Scblty","E_EnerLev","A_Cmpn","A_Rspct","N_Depr","N_Anxty","N_EmoVol","C_Prdctv","C_Rspnbl","cumsumT"
"E_Scblty",0.1466,0,0,0,0,0,0,0,0,0,0.1475,0.1946,0,0,0,0,0,0.1544,0
"E_EnerLev",0,0.1123,0,0,0,0,0.1164,0,0.1126,0,0,0,0,0,0.1223,0,0.1117,0,0
"A_Cmpn",0,0,0.1373,0,0,0,0,0,0,0,0,0,0.1546,0,0,0,0,0,0.1425
"A_Rspct",0,0,0,0.147,0,0,0,0,0,0.1966,0,0,0,0,0,0,0.1615,0,0
"N_Depr",0,0,0,0,0.1561,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N_Anxty",0,0,0,0,0,0.1179,0,0,0,0,0,0.1143,0,0.1179,0,0,0,0,0
"N_EmoVol",0,0,0,0,0,0,0.1601,0,0,0,0,0,0,0,0,0,0,0,0
"C_Prdctv",0,0,0,0,0,0,0,0.1522,0,0,0,0,0,0,0,0,0,0.159,0
"C_Rspnbl",0,0,0,0,0,0,0,0,0.1533,0,0,0,0,0,0,0,0,0,0
"cumsumT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
