"","E_Scbltylag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","N_Deprlag","N_Anxtylag","N_EmoVollag","C_Prdctvlag","C_Rspnbllag","E_Scblty","E_EnerLev","A_Cmpn","A_Rspct","N_Depr","N_Anxty","N_EmoVol","C_Prdctv","C_Rspnbl","cumsumT"
"E_Scblty",-0.2119,0,0,0,0,0,0,0,0,0,0.5381,0,0,0,0,0,0,0,0
"E_EnerLev",0,0.0913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_Cmpn",0,0,-0.4291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_Rspct",0,0,0,-0.0238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N_Depr",0,0,0,0,0.2279,0,0,0,0,0,0,0,0,0,0,0,0,-0.3371,0
"N_Anxty",0,0,0,0,0,-0.1056,0,0,0,0,0,0,0,0.4514,0,0,0,0,0
"N_EmoVol",0,0,0,0,0,0,-0.1597,0,0,0,0,0,0,0,0,0,0,0,0
"C_Prdctv",0,0,0,0,0,0,0,0.0416,0.3126,0,0,0,0,0,0,0,0,0.3837,0
"C_Rspnbl",0,0,0,0,0,0,0,0,0.1061,0,0.4662,0,0,0,0,0,0,0,0
"cumsumT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
