"E_Scbltylag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","N_Deprlag","N_Anxtylag","N_EmoVollag","C_Prdctvlag","C_Rspnbllag","E_Scblty","E_EnerLev","A_Cmpn","A_Rspct","N_Depr","N_Anxty","N_EmoVol","C_Prdctv","C_Rspnbl"
45,2,3,1,1,1,2,0,1,0,13,0,0,9,3,2,4,2
1,45,2,4,1,1,3,1,4,15,0,2,2,5,5,1,8,2
2,0,45,4,2,2,1,3,6,7,5,0,7,5,1,4,1,6
3,4,1,45,0,1,4,3,1,6,3,7,0,6,2,7,4,4
3,1,2,4,45,4,1,2,6,4,4,1,2,0,17,6,3,5
0,2,2,1,3,45,1,1,3,0,2,3,4,10,0,6,2,3
2,1,2,1,3,2,45,0,1,1,1,4,2,16,8,0,3,3
3,4,6,4,0,2,3,45,1,3,8,4,0,6,1,1,0,13
3,1,1,2,2,3,3,4,45,3,7,6,2,3,3,1,12,0
