"","E_Scbltylag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","N_Deprlag","N_Anxtylag","N_EmoVollag","C_Prdctvlag","C_Rspnbllag","E_Scblty","E_EnerLev","A_Cmpn","A_Rspct","N_Depr","N_Anxty","N_EmoVol","C_Prdctv","C_Rspnbl"
"E_Scbltylag",0.9695,0.3384,0.0923,-0.1648,-0.1104,-0.1276,0.1953,0.132,0.1189,0,0,0,0,0,0,0,0,0
"E_EnerLevlag",0.3384,0.9907,0.2886,0.0073,-0.0618,-0.0541,-0.0363,-0.1117,0.0423,0,0,0,0,0,0,0,0,0
"A_Cmpnlag",0.0923,0.2886,0.9976,0.2648,-0.1714,-0.3288,-0.3674,-0.0229,0.0458,0,0,0,0,0,0,0,0,0
"A_Rspctlag",-0.1648,0.0073,0.2648,0.9999,-0.1103,-0.2004,-0.321,0.0171,0.1918,0,0,0,0,0,0,0,0,0
"N_Deprlag",-0.1104,-0.0618,-0.1714,-0.1103,0.9925,0.3722,0.2871,0.0928,-0.0386,0,0,0,0,0,0,0,0,0
"N_Anxtylag",-0.1276,-0.0541,-0.3288,-0.2004,0.3722,0.9725,0.5024,0.1908,-0.1138,0,0,0,0,0,0,0,0,0
"N_EmoVollag",0.1953,-0.0363,-0.3674,-0.321,0.2871,0.5024,1,0.1168,0.0546,0,0,0,0,0,0,0,0,0
"C_Prdctvlag",0.132,-0.1117,-0.0229,0.0171,0.0928,0.1908,0.1168,0.9791,0.3769,0,0,0,0,0,0,0,0,0
"C_Rspnbllag",0.1189,0.0423,0.0458,0.1918,-0.0386,-0.1138,0.0546,0.3769,0.9637,0,0,0,0,0,0,0,0,0
"E_Scblty",0,0,0,0,0,0,0,0,0,0.9332,0,0,0,0,0,0,0,0
"E_EnerLev",0,0,0,0,0,0,0,0,0,0,0.979,0,0,0,0,0,0,0
"A_Cmpn",0,0,0,0,0,0,0,0,0,0,0,0.86,0,0,0,0,0,0
"A_Rspct",0,0,0,0,0,0,0,0,0,0,0,0,0.9556,0,0,0,0,0
"N_Depr",0,0,0,0,0,0,0,0,0,0,0,0,0,0.9873,0,0,0,0
"N_Anxty",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7396,0,0,0
"N_EmoVol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6357,0,0
"C_Prdctv",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9744,0
"C_Rspnbl",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9806
