"","E_Scbltylag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","N_Deprlag","N_Anxtylag","N_EmoVollag","C_Prdctvlag","C_Rspnbllag","E_Scblty","E_EnerLev","A_Cmpn","A_Rspct","N_Depr","N_Anxty","N_EmoVol","C_Prdctv","C_Rspnbl"
"E_Scblty",0.107,0,0,0,0,0,0,0,0,0,0,0,0.1063,0,0,0,0,0
"E_EnerLev",0,0.0751,0,0,0,0,0,0,0,0.0751,0,0,0,0,0.0749,0,0,0
"A_Cmpn",0,0,0.1178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_Rspct",0,0,0,0.0981,0,0,0,0,0,0,0,0.0978,0,0,0,0,0,0
"N_Depr",0,0,0,0,0.0812,0,0,0,0,0,0,0.0833,0,0,0.083,0,0,0
"N_Anxty",0,0,0,0,0,0.1176,0,0,0,0,0,0,0,0,0,0,0,0
"N_EmoVol",0,0,0,0,0,0,0.0901,0,0,0,0.09,0,0,0,0,0,0,0
"C_Prdctv",0,0,0,0,0,0,0,0.0852,0,0,0,0,0,0,0,0,0,0.0861
"C_Rspnbl",0,0,0,0,0,0,0,0,0.1144,0,0,0,0,0,0,0,0,0
