"","E_Scbltylag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","N_Deprlag","N_Anxtylag","N_EmoVollag","C_Prdctvlag","C_Rspnbllag","E_Scblty","E_EnerLev","A_Cmpn","A_Rspct","N_Depr","N_Anxty","N_EmoVol","C_Prdctv","C_Rspnbl"
"E_Scbltylag",0.9976,0.629,0.3074,0.2679,-0.3189,-0.6342,-0.2627,0.3297,0.2745,0,0,0,0,0,0,0,0,0
"E_EnerLevlag",0.629,0.9885,0.3425,0.4659,-0.4089,-0.6109,-0.2932,0.3755,0.3252,0,0,0,0,0,0,0,0,0
"A_Cmpnlag",0.3074,0.3425,0.9886,0.2701,-0.2014,-0.3836,-0.0284,0.1966,0.3201,0,0,0,0,0,0,0,0,0
"A_Rspctlag",0.2679,0.4659,0.2701,0.992,-0.3677,-0.5716,-0.188,0.2982,0.1923,0,0,0,0,0,0,0,0,0
"N_Deprlag",-0.3189,-0.4089,-0.2014,-0.3677,0.9904,0.2818,0.3342,-0.1386,-0.1546,0,0,0,0,0,0,0,0,0
"N_Anxtylag",-0.6342,-0.6109,-0.3836,-0.5716,0.2818,0.9864,0.4055,-0.4579,-0.3929,0,0,0,0,0,0,0,0,0
"N_EmoVollag",-0.2627,-0.2932,-0.0284,-0.188,0.3342,0.4055,0.9214,-0.1703,-0.2641,0,0,0,0,0,0,0,0,0
"C_Prdctvlag",0.3297,0.3755,0.1966,0.2982,-0.1386,-0.4579,-0.1703,0.9993,0.1356,0,0,0,0,0,0,0,0,0
"C_Rspnbllag",0.2745,0.3252,0.3201,0.1923,-0.1546,-0.3929,-0.2641,0.1356,1,0,0,0,0,0,0,0,0,0
"E_Scblty",0,0,0,0,0,0,0,0,0,0.6108,0,0,0,0,0,0,0,0
"E_EnerLev",0,0,0,0,0,0,0,0,0,0,0.4403,0,0,0,0,0,0,0
"A_Cmpn",0,0,0,0,0,0,0,0,0,0,0,0.8254,0,0,0,0,0,0
"A_Rspct",0,0,0,0,0,0,0,0,0,0,0,0,1.4325,0,0,0,0,0
"N_Depr",0,0,0,0,0,0,0,0,0,0,0,0,0,0.6162,0,0,0,0
"N_Anxty",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9917,0,0,0
"N_EmoVol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7987,0,0
"C_Prdctv",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.769,0
"C_Rspnbl",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8349
