"","E_Scbltylag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","N_Deprlag","N_Anxtylag","N_EmoVollag","C_Prdctvlag","C_Rspnbllag","E_Scblty","E_EnerLev","A_Cmpn","A_Rspct","N_Depr","N_Anxty","N_EmoVol","C_Prdctv","C_Rspnbl"
"E_Scbltylag",1,0.268,0.201,-0.063,-0.3182,-0.0752,0.1679,0.2193,0.0644,0,0,0,0,0,0,0,0,0
"E_EnerLevlag",0.268,1,-0.067,-0.066,-0.1185,-0.1808,0.081,0.408,0.5673,0,0,0,0,0,0,0,0,0
"A_Cmpnlag",0.201,-0.067,1,0.2755,0.1146,-0.1504,-0.1461,0.1598,-0.0582,0,0,0,0,0,0,0,0,0
"A_Rspctlag",-0.063,-0.066,0.2755,1,-0.0097,0.0165,-0.1785,-0.0092,-0.1954,0,0,0,0,0,0,0,0,0
"N_Deprlag",-0.3182,-0.1185,0.1146,-0.0097,1,0.1991,0.1657,0.027,0.0707,0,0,0,0,0,0,0,0,0
"N_Anxtylag",-0.0752,-0.1808,-0.1504,0.0165,0.1991,1,0.1126,-0.1138,-0.3106,0,0,0,0,0,0,0,0,0
"N_EmoVollag",0.1679,0.081,-0.1461,-0.1785,0.1657,0.1126,1,-0.0834,-0.0295,0,0,0,0,0,0,0,0,0
"C_Prdctvlag",0.2193,0.408,0.1598,-0.0092,0.027,-0.1138,-0.0834,1,0.5587,0,0,0,0,0,0,0,0,0
"C_Rspnbllag",0.0644,0.5673,-0.0582,-0.1954,0.0707,-0.3106,-0.0295,0.5587,1,0,0,0,0,0,0,0,0,0
"E_Scblty",0,0,0,0,0,0,0,0,0,0.8195,0,0,0,0,0,0,0,0
"E_EnerLev",0,0,0,0,0,0,0,0,0,0,0.6148,0,0,0,0,0,0,0
"A_Cmpn",0,0,0,0,0,0,0,0,0,0,0,0.9761,0,0,0,0,0,0
"A_Rspct",0,0,0,0,0,0,0,0,0,0,0,0,0.8315,0,0,0,0,0
"N_Depr",0,0,0,0,0,0,0,0,0,0,0,0,0,0.9554,0,0,0,0
"N_Anxty",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9269,0,0,0
"N_EmoVol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4137,0,0
"C_Prdctv",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.998,0
"C_Rspnbl",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6041
