"","E_Scbltylag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","N_Deprlag","N_Anxtylag","N_EmoVollag","C_Prdctvlag","C_Rspnbllag","E_Scblty","E_EnerLev","A_Cmpn","A_Rspct","N_Depr","N_Anxty","N_EmoVol","C_Prdctv","C_Rspnbl"
"E_Scblty",0.0761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E_EnerLev",0,-0.0701,0,0,0,0,0,0,0,0.3695,0,0,0,0,0,0,0,0.4524
"A_Cmpn",0,0,-0.0899,0,0,0,0,0,0,0,0.3798,0,0,0,0,0,0,0
"A_Rspct",0,0,0,0.0899,0,0,0,0,0,0,0,0,0,0,0,0,0.2355,0
"N_Depr",0,0,0,0,0.1486,0,0,0,0,0,0,0,0,0,0,0,0,0
"N_Anxty",0,0,0,0,0,0.1914,0,0,0,0,0,0,0,0.5637,0,0,0,0
"N_EmoVol",0,0,0,0,0,0,-0.0563,0,0,0,0,0,0,0.5497,0,0,0,0
"C_Prdctv",0,0,0,0,0,0,0,-0.0235,0,0,0,0,0,0,0,0,0,0
"C_Rspnbl",0,0,0,0,0,0,0,0,0.0328,0,0,0,0,0,0,0,0.4337,0
