"","E_Scbltylag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","N_Deprlag","N_Anxtylag","N_EmoVollag","C_Prdctvlag","C_Rspnbllag","E_Scblty","E_EnerLev","A_Cmpn","A_Rspct","N_Depr","N_Anxty","N_EmoVol","C_Prdctv","C_Rspnbl"
"E_Scbltylag",1,0.1573,-0.2295,0.0099,0.0825,-0.2044,-0.2608,0.0981,0.3299,0,0,0,0,0,0,0,0,0
"E_EnerLevlag",0.1573,1,0.2127,-0.0219,-0.3103,0.1288,0.2009,0.0895,-1e-04,0,0,0,0,0,0,0,0,0
"A_Cmpnlag",-0.2295,0.2127,1,0.1942,-0.3293,0.2827,0.2409,0.1634,0.0215,0,0,0,0,0,0,0,0,0
"A_Rspctlag",0.0099,-0.0219,0.1942,1,-0.0134,-0.1126,-0.1779,0.3764,0.3656,0,0,0,0,0,0,0,0,0
"N_Deprlag",0.0825,-0.3103,-0.3293,-0.0134,1,0.0251,0.1061,-0.0966,0.1457,0,0,0,0,0,0,0,0,0
"N_Anxtylag",-0.2044,0.1288,0.2827,-0.1126,0.0251,1,0.3761,-0.06,-0.2161,0,0,0,0,0,0,0,0,0
"N_EmoVollag",-0.2608,0.2009,0.2409,-0.1779,0.1061,0.3761,1,-0.1551,-0.2465,0,0,0,0,0,0,0,0,0
"C_Prdctvlag",0.0981,0.0895,0.1634,0.3764,-0.0966,-0.06,-0.1551,1,0.6012,0,0,0,0,0,0,0,0,0
"C_Rspnbllag",0.3299,-1e-04,0.0215,0.3656,0.1457,-0.2161,-0.2465,0.6012,1,0,0,0,0,0,0,0,0,0
"E_Scblty",0,0,0,0,0,0,0,0,0,0.8825,0,0,0,0,0,0,0,0
"E_EnerLev",0,0,0,0,0,0,0,0,0,0,0.8769,0,0,0,0,0,0,0
"A_Cmpn",0,0,0,0,0,0,0,0,0,0,0,0.9195,0,0,0,0,0,0
"A_Rspct",0,0,0,0,0,0,0,0,0,0,0,0,0.8539,0,0,0,0,0
"N_Depr",0,0,0,0,0,0,0,0,0,0,0,0,0,0.8827,0,0,0,0
"N_Anxty",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8556,0,0,0
"N_EmoVol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8977,0,0
"C_Prdctv",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6678,0
"C_Rspnbl",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9781
