"","E_Scbltylag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","N_Deprlag","N_Anxtylag","N_EmoVollag","C_Prdctvlag","C_Rspnbllag","E_Scblty","E_EnerLev","A_Cmpn","A_Rspct","N_Depr","N_Anxty","N_EmoVol","C_Prdctv","C_Rspnbl"
"E_Scbltylag",0.9898,0.2568,0.5411,0.1768,-0.322,-0.2766,-0.267,-0.3797,-0.225,0,0,0,0,0,0,0,0,0
"E_EnerLevlag",0.2568,0.9994,0.1939,0.3544,-0.4324,-0.1671,-0.3166,-0.1702,0.2392,0,0,0,0,0,0,0,0,0
"A_Cmpnlag",0.5411,0.1939,0.9744,0.1381,-0.208,-0.272,-0.176,-0.434,-0.1954,0,0,0,0,0,0,0,0,0
"A_Rspctlag",0.1768,0.3544,0.1381,0.9995,-0.0142,0.1709,-0.0167,-0.0811,0.0335,0,0,0,0,0,0,0,0,0
"N_Deprlag",-0.322,-0.4324,-0.208,-0.0142,0.997,0.558,0.5784,-0.0407,-0.0227,0,0,0,0,0,0,0,0,0
"N_Anxtylag",-0.2766,-0.1671,-0.272,0.1709,0.558,0.9845,0.5952,0.0949,0.0915,0,0,0,0,0,0,0,0,0
"N_EmoVollag",-0.267,-0.3166,-0.176,-0.0167,0.5784,0.5952,0.9957,-0.0167,-0.0189,0,0,0,0,0,0,0,0,0
"C_Prdctvlag",-0.3797,-0.1702,-0.434,-0.0811,-0.0407,0.0949,-0.0167,0.9827,0.481,0,0,0,0,0,0,0,0,0
"C_Rspnbllag",-0.225,0.2392,-0.1954,0.0335,-0.0227,0.0915,-0.0189,0.481,1,0,0,0,0,0,0,0,0,0
"E_Scblty",0,0,0,0,0,0,0,0,0,0.9421,0,0,0,0,0,0,0,0
"E_EnerLev",0,0,0,0,0,0,0,0,0,0,0.8101,0,0,0,0,0,0,0
"A_Cmpn",0,0,0,0,0,0,0,0,0,0,0,0.6798,0,0,0,0,0,0
"A_Rspct",0,0,0,0,0,0,0,0,0,0,0,0,0.8189,0,0,0,0,0
"N_Depr",0,0,0,0,0,0,0,0,0,0,0,0,0,0.5039,0,0,0,0
"N_Anxty",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9629,0,0,0
"N_EmoVol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6386,0,0
"C_Prdctv",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.785,0
"C_Rspnbl",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7603
