"","E_Scbltylag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","N_Deprlag","N_Anxtylag","N_EmoVollag","C_Prdctvlag","C_Rspnbllag","E_Scblty","E_EnerLev","A_Cmpn","A_Rspct","N_Depr","N_Anxty","N_EmoVol","C_Prdctv","C_Rspnbl"
"E_Scbltylag",0.9824,0.3654,0.0688,0.0554,-0.0135,-0.0033,0.3735,0.0574,0.1076,0,0,0,0,0,0,0,0,0
"E_EnerLevlag",0.3654,0.9908,0.3799,0.3052,-0.3883,-0.3698,-0.2344,0.4593,0.1883,0,0,0,0,0,0,0,0,0
"A_Cmpnlag",0.0688,0.3799,0.9986,0.2842,-0.0986,-0.1295,-0.2361,0.2351,0.3053,0,0,0,0,0,0,0,0,0
"A_Rspctlag",0.0554,0.3052,0.2842,0.9623,-0.2437,-0.2407,-0.2684,0.4495,0.2558,0,0,0,0,0,0,0,0,0
"N_Deprlag",-0.0135,-0.3883,-0.0986,-0.2437,0.9998,0.469,0.3691,-0.3616,-0.2288,0,0,0,0,0,0,0,0,0
"N_Anxtylag",-0.0033,-0.3698,-0.1295,-0.2407,0.469,0.9931,0.4408,-0.5328,-0.2817,0,0,0,0,0,0,0,0,0
"N_EmoVollag",0.3735,-0.2344,-0.2361,-0.2684,0.3691,0.4408,0.9974,-0.3507,-0.0642,0,0,0,0,0,0,0,0,0
"C_Prdctvlag",0.0574,0.4593,0.2351,0.4495,-0.3616,-0.5328,-0.3507,0.9952,0.3719,0,0,0,0,0,0,0,0,0
"C_Rspnbllag",0.1076,0.1883,0.3053,0.2558,-0.2288,-0.2817,-0.0642,0.3719,0.9942,0,0,0,0,0,0,0,0,0
"E_Scblty",0,0,0,0,0,0,0,0,0,0.9887,0,0,0,0,0,0,0,0
"E_EnerLev",0,0,0,0,0,0,0,0,0,0,0.618,0,0,0,0,0,0,0
"A_Cmpn",0,0,0,0,0,0,0,0,0,0,0,0.7704,0,0,0,0,0,0
"A_Rspct",0,0,0,0,0,0,0,0,0,0,0,0,0.7997,0,0,0,0,0
"N_Depr",0,0,0,0,0,0,0,0,0,0,0,0,0,0.7771,0,0,0,0
"N_Anxty",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7878,0,0,0
"N_EmoVol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8576,0,0
"C_Prdctv",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6979,0
"C_Rspnbl",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7336
