"","A_Cmpnlag","A_Rspctlag","A_Trustlag","C_Orglag","C_Prdctvlag","C_Rspnbllag","E_Assertlag","E_EnerLevlag","E_Scbltylag","N_Anxtylag","N_Deprlag","N_EmoVollag","O_AesSenslag","O_CrtvImaglag","O_IntCurlag","A_Cmpn","A_Rspct","A_Trust","C_Org","C_Prdctv","C_Rspnbl","E_Assert","E_EnerLev","E_Scblty","N_Anxty","N_Depr","N_EmoVol","O_AesSens","O_CrtvImag","O_IntCur"
"A_Cmpnlag",0.9999,0.2591,0.3487,0.2842,0.0709,0.1949,0.0651,0.1804,0.2042,-0.3593,-0.2779,-0.2476,0.0604,0.2345,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_Rspctlag",0.2591,0.9999,0.3733,0.1256,0.2816,0.1781,0.05,0.0118,0.1088,0.0321,-0.1456,-0.0609,-0.0615,0.0246,0.1983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_Trustlag",0.3487,0.3733,0.9929,0.2702,0.0506,0.3139,0.0081,0.1804,-0.0507,-0.2163,-0.2738,-0.2872,0.1535,-0.0215,0.172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C_Orglag",0.2842,0.1256,0.2702,0.9999,0.2159,0.3314,0.1347,0.3497,-0.0276,-0.3406,-0.3173,-0.2254,0.0601,0.2362,0.2596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C_Prdctvlag",0.0709,0.2816,0.0506,0.2159,0.9694,0.4578,0.1407,0.2768,0.228,-0.2214,-0.2725,-0.2228,-0.0127,0.4161,0.169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C_Rspnbllag",0.1949,0.1781,0.3139,0.3314,0.4578,0.9997,0.1668,0.2906,0.1593,-0.2933,-0.2233,-0.2656,-0.03,0.1984,0.3373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E_Assertlag",0.0651,0.05,0.0081,0.1347,0.1407,0.1668,0.9881,0.2687,0.0886,-0.1856,-0.2005,-0.0727,-0.0743,0.426,0.1741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E_EnerLevlag",0.1804,0.0118,0.1804,0.3497,0.2768,0.2906,0.2687,0.9774,0.2582,-0.3805,-0.4433,-0.3617,-0.04,0.3309,0.0936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E_Scbltylag",0.2042,0.1088,-0.0507,-0.0276,0.228,0.1593,0.0886,0.2582,0.9973,-0.1052,-0.232,-0.0833,-0.0676,0.2611,0.0778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N_Anxtylag",-0.3593,0.0321,-0.2163,-0.3406,-0.2214,-0.2933,-0.1856,-0.3805,-0.1052,0.9979,0.7068,0.4603,0.0551,-0.3325,-0.0534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N_Deprlag",-0.2779,-0.1456,-0.2738,-0.3173,-0.2725,-0.2233,-0.2005,-0.4433,-0.232,0.7068,0.9962,0.4249,0.1497,-0.3516,0.0493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N_EmoVollag",-0.2476,-0.0609,-0.2872,-0.2254,-0.2228,-0.2656,-0.0727,-0.3617,-0.0833,0.4603,0.4249,0.9963,-0.1557,-0.1808,-0.2059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O_AesSenslag",0.0604,-0.0615,0.1535,0.0601,-0.0127,-0.03,-0.0743,-0.04,-0.0676,0.0551,0.1497,-0.1557,0.9772,0.1088,0.2119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O_CrtvImaglag",0.2345,0.0246,-0.0215,0.2362,0.4161,0.1984,0.426,0.3309,0.2611,-0.3325,-0.3516,-0.1808,0.1088,0.9895,0.1879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O_IntCurlag",0.2,0.1983,0.172,0.2596,0.169,0.3373,0.1741,0.0936,0.0778,-0.0534,0.0493,-0.2059,0.2119,0.1879,0.9982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_Cmpn",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8718,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_Rspct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9788,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_Trust",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8561,0,0,0,0,0,0,0,0,0,0,0,0
"C_Org",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7948,0,0,0,0,0,0,0,0,0,0,0
"C_Prdctv",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7333,0,0,0,0,0,0,0,0,0,0
"C_Rspnbl",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5987,0,0,0,0,0,0,0,0,0
"E_Assert",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.894,0,0,0,0,0,0,0,0
"E_EnerLev",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7321,0,0,0,0,0,0,0
"E_Scblty",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9092,0,0,0,0,0,0
"N_Anxty",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6742,0,0,0,0,0
"N_Depr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4246,0,0,0,0
"N_EmoVol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7687,0,0,0
"O_AesSens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9946,0,0
"O_CrtvImag",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6635,0
