"","A_Cmpnlag","A_Rspctlag","A_Trustlag","C_Orglag","C_Prdctvlag","C_Rspnbllag","E_Assertlag","E_EnerLevlag","E_Scbltylag","N_Anxtylag","N_Deprlag","N_EmoVollag","O_AesSenslag","O_CrtvImaglag","O_IntCurlag","A_Cmpn","A_Rspct","A_Trust","C_Org","C_Prdctv","C_Rspnbl","E_Assert","E_EnerLev","E_Scblty","N_Anxty","N_Depr","N_EmoVol","O_AesSens","O_CrtvImag","O_IntCur"
"A_Cmpn",0.1238,0,0,0,0,0,0,0,0,0,0,0,0,0.1223,0,0,0,0,0,0,0,0,0,0,0,0.1168,0,0,0.1135,0
"A_Rspct",0,0.1067,0,0,0,0,0,0,0.1074,0,0,0,0,0.11,0,0,0,0.1193,0,0,0,0,0,0,0,0,0,0,0.0978,0
"A_Trust",0,0,0.1692,0,0,0.1762,0,0,0,0,0,0,0,0,0,0,0.2657,0,0,0,0,0,0,0,0,0.1962,0,0,0,0
"C_Org",0,0,0,0.1494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C_Prdctv",0,0,0,0,0.1766,0,0,0,0,0,0,0.2127,0,0,0,0,0,0,0,0,0.2159,0,0,0,0,0.2166,0,0,0.2242,0.4374
"C_Rspnbl",0,0,0,0,0,0.0962,0,0,0,0,0,0,0,0,0,0,0,0,0.0969,0,0,0,0,0,0.0972,0,0,0,0,0
"E_Assert",0,0,0,0,0,0,0.1326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1332,0,0,0,0,0,0,0
"E_EnerLev",0,0,0,0,0,0,0,0.1356,0,0,0,0,0,0,0,0,0,0,0.1291,0,0,0,0,0,0,0,0,0,0,0
"E_Scblty",0,0,0,0,0,0,0,0,0.1259,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1265,0,0,0,0,0,0,0
"N_Anxty",0,0,0,0,0,0,0,0,0,0.1134,0,0,0,0,0,0,0,0.1234,0,0,0,0,0,0,0,0,0.1246,0,0,0
"N_Depr",0,0,0,0,0,0,0,0,0,0,0.129,0,0,0,0,0,0,0,0,0,0,0,0,0.1275,0,0,0,0,0,0
"N_EmoVol",0,0,0,0,0,0,0,0,0,0,0,0.1128,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114,0,0,0,0
"O_AesSens",0,0,0,0,0,0,0,0,0,0,0,0,0.1208,0,0,0,0.1234,0,0,0,0,0,0.1242,0,0,0,0,0,0,0
"O_CrtvImag",0,0,0,0,0,0,0,0,0,0,0,0,0,0.1169,0,0,0,0,0,0,0,0,0.1173,0,0,0,0,0,0,0
"O_IntCur",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1629,0,0,0,0,0.2461,0,0,0,0,0,0,0,0,0,0
