"","A_Cmpnlag","A_Rspctlag","A_Trustlag","C_Orglag","C_Prdctvlag","C_Rspnbllag","E_Assertlag","E_EnerLevlag","E_Scbltylag","N_Anxtylag","N_Deprlag","N_EmoVollag","O_AesSenslag","O_CrtvImaglag","O_IntCurlag","A_Cmpn","A_Rspct","A_Trust","C_Org","C_Prdctv","C_Rspnbl","E_Assert","E_EnerLev","E_Scblty","N_Anxty","N_Depr","N_EmoVol","O_AesSens","O_CrtvImag","O_IntCur"
"A_Cmpnlag",1,0.3085,0.2469,0.2156,0.2414,0.2348,0.0303,0.3534,0.35,-0.1634,-0.1675,-0.1954,0.1719,0.1215,2e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_Rspctlag",0.3085,1,0.2281,0.0126,0.2024,0.3549,-0.1622,0.1493,0.0226,0.0252,-0.2341,-0.263,0.0602,0.1047,0.219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_Trustlag",0.2469,0.2281,1,0.3072,0.1652,0.1656,-0.1494,0.3963,0.2851,-0.4232,-0.4319,-0.3365,0.0719,0.1983,0.0059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C_Orglag",0.2156,0.0126,0.3072,1,0.4131,0.3448,0.3793,0.4246,0.4781,-0.4809,-0.2532,-0.3605,0.1459,0.2884,0.1729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C_Prdctvlag",0.2414,0.2024,0.1652,0.4131,1,0.2822,0.1851,0.4673,0.3365,-0.2986,-0.4344,-0.3782,0.3108,0.3393,0.0513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C_Rspnbllag",0.2348,0.3549,0.1656,0.3448,0.2822,1,0.0482,0.206,0.1835,-0.1713,-0.2986,-0.2466,-0.0614,-0.0573,0.2717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E_Assertlag",0.0303,-0.1622,-0.1494,0.3793,0.1851,0.0482,1,0.2845,0.3949,-0.0235,0.087,0.1478,0.125,0.1797,0.2561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E_EnerLevlag",0.3534,0.1493,0.3963,0.4246,0.4673,0.206,0.2845,1,0.5974,-0.3665,-0.4938,-0.3398,0.2551,0.3415,0.0135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E_Scbltylag",0.35,0.0226,0.2851,0.4781,0.3365,0.1835,0.3949,0.5974,1,-0.382,-0.1771,-0.1688,0.218,0.229,0.3234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N_Anxtylag",-0.1634,0.0252,-0.4232,-0.4809,-0.2986,-0.1713,-0.0235,-0.3665,-0.382,1,0.4174,0.4358,-0.1255,-0.2179,-0.126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N_Deprlag",-0.1675,-0.2341,-0.4319,-0.2532,-0.4344,-0.2986,0.087,-0.4938,-0.1771,0.4174,1,0.599,-0.096,-0.1483,-0.1029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N_EmoVollag",-0.1954,-0.263,-0.3365,-0.3605,-0.3782,-0.2466,0.1478,-0.3398,-0.1688,0.4358,0.599,1,-0.1195,-0.167,-5e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O_AesSenslag",0.1719,0.0602,0.0719,0.1459,0.3108,-0.0614,0.125,0.2551,0.218,-0.1255,-0.096,-0.1195,1,0.1282,0.2046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O_CrtvImaglag",0.1215,0.1047,0.1983,0.2884,0.3393,-0.0573,0.1797,0.3415,0.229,-0.2179,-0.1483,-0.167,0.1282,1,0.1323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O_IntCurlag",2e-04,0.219,0.0059,0.1729,0.0513,0.2717,0.2561,0.0135,0.3234,-0.126,-0.1029,-5e-04,0.2046,0.1323,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_Cmpn",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.838,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_Rspct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9536,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_Trust",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3923,0,0,0,0,0,0,0,0,0,0,0,0
"C_Org",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4734,0,0,0,0,0,0,0,0,0,0,0
"C_Prdctv",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7942,0,0,0,0,0,0,0,0,0,0
"C_Rspnbl",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7732,0,0,0,0,0,0,0,0,0
"E_Assert",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6872,0,0,0,0,0,0,0,0
"E_EnerLev",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.721,0,0,0,0,0,0,0
"E_Scblty",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.366,0,0,0,0,0,0
"N_Anxty",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7282,0,0,0,0,0
"N_Depr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1427,0,0,0,0
"N_EmoVol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6251,0,0,0
"O_AesSens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9003,0,0
"O_CrtvImag",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8041,0
"O_IntCur",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
