"","A_Cmpnlag","A_Rspctlag","A_Trustlag","C_Orglag","C_Prdctvlag","C_Rspnbllag","E_Assertlag","E_EnerLevlag","E_Scbltylag","N_Anxtylag","N_Deprlag","N_EmoVollag","O_AesSenslag","O_CrtvImaglag","O_IntCurlag","A_Cmpn","A_Rspct","A_Trust","C_Org","C_Prdctv","C_Rspnbl","E_Assert","E_EnerLev","E_Scblty","N_Anxty","N_Depr","N_EmoVol","O_AesSens","O_CrtvImag","O_IntCur"
"A_Cmpn",0.0908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0899,0,0,0,0,0,0
"A_Rspct",0,0.0901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_Trust",0,0,0.0898,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0961,0,0,0,0,0,0,0,0,0,0,0,0,0
"C_Org",0,0,0,0.0964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C_Prdctv",0,0,0,0,0.0921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0942,0
"C_Rspnbl",0,0,0,0,0,0.0828,0.0886,0.0891,0,0,0,0,0,0,0,0,0,0.0841,0,0.0837,0,0,0,0,0,0,0,0,0,0
"E_Assert",0.0937,0,0,0,0,0,0.0926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0933,0,0,0,0
"E_EnerLev",0,0,0,0,0,0,0,0.0886,0,0,0,0,0,0,0.0874,0,0,0,0,0,0,0.0862,0,0,0,0,0.0863,0,0,0
"E_Scblty",0,0,0,0,0,0,0,0,0.0894,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0877,0,0,0,0,0,0,0
"N_Anxty",0,0,0,0,0,0,0,0,0,0.087,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0879,0,0,0,0,0,0
"N_Depr",0,0,0,0,0,0,0,0,0,0,0.0765,0,0.0783,0,0,0,0,0.0768,0,0,0,0,0,0,0.0791,0,0,0,0,0
"N_EmoVol",0,0,0,0,0,0,0,0,0,0,0,0.089,0,0,0,0,0,0.0936,0,0,0,0,0,0,0,0.0964,0,0,0,0
"O_AesSens",0,0,0,0,0,0,0,0,0,0,0,0.089,0.0907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0888
"O_CrtvImag",0,0,0,0,0,0,0.0941,0,0,0,0,0,0,0.0939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O_IntCur",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0911,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0935,0
