"","A_Cmpnlag","A_Rspctlag","A_Trustlag","C_Orglag","C_Prdctvlag","C_Rspnbllag","E_Assertlag","E_EnerLevlag","E_Scbltylag","N_Anxtylag","N_Deprlag","N_EmoVollag","O_AesSenslag","O_CrtvImaglag","O_IntCurlag","A_Cmpn","A_Rspct","A_Trust","C_Org","C_Prdctv","C_Rspnbl","E_Assert","E_EnerLev","E_Scblty","N_Anxty","N_Depr","N_EmoVol","O_AesSens","O_CrtvImag","O_IntCur","cumsumT"
"A_Cmpn",0.1294,0,0,0,0.1255,0,0,0,0.1271,0,0,0,0.131,0,0,0,0,0.1317,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_Rspct",0,0.1957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1972,0,0,0,0,0,0,0,0,0,0.2221,0,0
"A_Trust",0,0,0.1447,0,0,0,0,0,0,0,0,0,0.129,0,0,0,0,0,0,0,0,0,0,0,0,0.1464,0.1311,0,0.1434,0,0.1328
"C_Org",0,0,0,0.3826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6508,0,0.4455,0,0.5245,0
"C_Prdctv",0,0,0,0,0.1764,0,0,0,0,0,0,0,0,0.1778,0,0,0,0,0,0,0,0,0.1712,0,0,0,0,0,0,0,0
"C_Rspnbl",0,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0.1351,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1615,0,0
"E_Assert",0,0,0.0931,0.1063,0.1117,0.109,0.0965,0,0.0993,0,0,0,0,0,0,0,0,0,0.1115,0.1086,0,0,0,0.0923,0,0,0,0,0,0,0
"E_EnerLev",0,0.1123,0,0,0,0,0.0986,0.1363,0,0,0,0.1123,0,0.1638,0.1172,0,0,0,0,0,0,0,0,0.1063,0,0,0,0,0,0.1516,0.1362
"E_Scblty",0,0,0,0,0,0,0,0.1881,0.1503,0,0.1413,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1425,0,0,0,0,0,0
"N_Anxty",0,0,0,0,0,0,0,0,0,0.1551,0,0,0,0,0,0,0,0,0,0,0,0,0.1658,0,0,0,0,0,0,0,0
"N_Depr",0,0,0,0,0,0,0,0,0,0,0.1228,0,0,0,0,0,0,0,0.163,0.158,0,0,0.1474,0,0,0,0,0,0,0,0
"N_EmoVol",0,0,0,0,0,0,0,0,0,0,0,0.1456,0,0,0,0,0,0,0.1566,0.1627,0,0,0,0,0,0,0,0,0,0,0
"O_AesSens",0.0907,0.0894,0,0.1059,0.0891,0,0,0,0.0899,0.0865,0,0,0.0796,0,0.0835,0,0,0,0.0806,0,0,0,0,0,0,0.0923,0,0,0.0986,0,0
"O_CrtvImag",0.0382,0.0278,0.0413,0,0.0404,0.0284,0.0245,0.0456,0,0,0,0.0626,0.0279,0.0401,0.0481,0.0409,0.0491,0,0.0846,0,0.0949,0.0416,0.1036,0.0287,0,0.0284,0.0297,0.0299,0,0.0376,0.0371
"O_IntCur",0.1216,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1249,0,0,0,0.1738,0.1406,0,0,0,0,0,0,0,0,0,0,0
"cumsumT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
