"","cumsumT","A_Cmpnlag","A_Rspctlag","A_Trustlag","C_Orglag","C_Prdctvlag","C_Rspnbllag","E_Assertlag","E_EnerLevlag","E_Scbltylag","N_Anxtylag","N_Deprlag","N_EmoVollag","O_AesSenslag","O_CrtvImaglag","O_IntCurlag","A_Cmpn","A_Rspct","A_Trust","C_Org","C_Prdctv","C_Rspnbl","E_Assert","E_EnerLev","E_Scblty","N_Anxty","N_Depr","N_EmoVol","O_AesSens","O_CrtvImag","O_IntCur"
"cumsumT",0.9689,-0.0486,-0.1529,0.0777,-0.0307,0.4464,0.3181,0.0787,0.3757,-0.0531,0.0167,0.0783,-0.0567,0.0092,-0.2016,0.0654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_Cmpnlag",-0.0486,1.0764,0.0087,0.4964,0.3133,-0.0155,0.0823,-0.0173,0.0595,0.013,-0.0398,-0.1081,-0.4399,0.1684,-0.0217,0.2161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_Rspctlag",-0.1529,0.0087,0.9647,0.3364,0.0788,0.2162,0.1923,0.0651,0.144,0.1994,-0.034,-0.0998,-0.2096,0.1954,0.3038,-0.2434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_Trustlag",0.0777,0.4964,0.3364,1.0259,0.3253,0.1902,0.1178,-0.1036,0.3089,0.0338,-0.2007,-0.1923,-0.5543,0.1989,0.1505,-0.1739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C_Orglag",-0.0307,0.3133,0.0788,0.3253,0.9368,0.1072,0.1564,0.2684,0.0758,0.0492,0.0085,-0.0843,0.0628,0.0776,0.1764,0.249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C_Prdctvlag",0.4464,-0.0155,0.2162,0.1902,0.1072,1.0581,0.4655,0.2425,0.4835,0.0666,-0.1281,-0.1021,0.0296,-0.1342,0.1499,0.0299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C_Rspnbllag",0.3181,0.0823,0.1923,0.1178,0.1564,0.4655,0.9897,0.2313,0.4975,0.3011,-0.227,-0.3479,-0.1648,0.1305,0.1777,0.1232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E_Assertlag",0.0787,-0.0173,0.0651,-0.1036,0.2684,0.2425,0.2313,0.9422,-0.1295,0.071,-0.1114,-0.2509,0.2017,-0.0207,0.184,0.3222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E_EnerLevlag",0.3757,0.0595,0.144,0.3089,0.0758,0.4835,0.4975,-0.1295,1.058,0.4676,-0.1609,-0.1212,-0.0345,0.2088,0.1525,-0.1135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E_Scbltylag",-0.0531,0.013,0.1994,0.0338,0.0492,0.0666,0.3011,0.071,0.4676,0.9736,-0.0843,-0.0896,0.0682,-0.0423,0.2801,-0.1128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
