"","A_Cmpnlag","A_Rspctlag","A_Trustlag","C_Orglag","C_Prdctvlag","C_Rspnbllag","E_Assertlag","E_EnerLevlag","E_Scbltylag","N_Anxtylag","N_Deprlag","N_EmoVollag","O_AesSenslag","O_CrtvImaglag","O_IntCurlag","A_Cmpn","A_Rspct","A_Trust","C_Org","C_Prdctv","C_Rspnbl","E_Assert","E_EnerLev","E_Scblty","N_Anxty","N_Depr","N_EmoVol","O_AesSens","O_CrtvImag","O_IntCur","cumsumT"
"A_Cmpn",-0.072,0,0,0,0,0,0,0,0.3375,0,0,0,0,0,-0.2355,0,0.28,0.388,0,0,0,0,0,0.4502,0,0,-0.2846,0,0,-0.5331,0
"A_Rspct",-0.303,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2873,0,-0.15,0.577,0,0,0,0,0,0,0.2341,0,0
"A_Trust",0.224,0,-0.1976,0,0,0,0,0,-0.3047,0,0,0,0,0,0,0,0,0,0.3205,0,0,0,0,0,0,-0.2548,0,0,0.4188,0.1215,0
"C_Org",0,0,0,-0.187,0,0.4432,0,0,0,0,0.4163,0,0,0,-0.3722,0.2574,-0.5395,-0.0216,0,0,0,0,0,0,0,0,0,0,0,0,-0.8668
"C_Prdctv",0.3286,-0.4402,-0.5151,0,-0.9612,0,-0.2747,1.1446,0,0,1.9806,0,-1.0742,-0.858,-0.6291,-1.4269,0,0,-1.2802,0,2.4677,-0.952,0,0,0,0.5473,-1.7406,0,0,0,-3.3527
"C_Rspnbl",-0.7632,0,-0.7233,0.4026,-0.349,0.9768,-0.4383,0.077,0.4032,0.0483,-0.648,-0.3396,-0.2962,-0.2011,0.1332,0.2779,0,0.4506,-0.1242,-0.2004,0,-0.3878,-0.0676,-0.1894,-0.355,0.9003,-0.4045,-0.5093,0.3508,-0.0803,-0.6774
"E_Assert",0,-0.3679,0,0,0,0,0.4428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5996,0,0,0,0,-0.097
"E_EnerLev",0,0.3077,-0.553,-0.128,0,0,0,-0.0451,0,0,0,0,0,0.3424,0,-0.2774,0,0.4011,-0.2324,0.2985,0,0.1867,0,0.3093,0.172,0,0,0.2381,0.3256,0,0
"E_Scblty",1.2057,-0.2866,0,-0.2245,0,-0.4043,-0.3181,0.3117,-0.4101,0.1298,0.6729,0,-0.1807,0.5803,0,0,0,-0.5521,-0.4155,0,0.5761,0,0,0,0,-0.7445,0,0.349,0,-0.1581,-0.2612
"N_Anxty",0,-0.2656,0,0,0,0.1556,-0.5149,0,0.1293,-0.0305,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.16,0,0.4122,0,0,0,-0.3033,-0.1957
"N_Depr",0,-0.471,0,0,0,0,-0.5187,0,0,0,0.8943,0,0,0,0,0,0,0,0,-2.1723,0,0,0,0,0,0,0,0,0,0,-1.1507
"N_EmoVol",0,0,-0.6399,0,-0.5744,0,0,0,0.0824,0.2478,0,0.0542,0,0,0.4583,0,0,0,0,0,0,0,-0.5173,0,0,-0.3887,0,0,0,0,0
"O_AesSens",-0.3961,0,0,0.2355,0,0,0,-0.2458,0,0,0,0,-0.5301,0,0,0,0,0,0,-0.4396,-0.1854,0,0,0,0.2213,0,0,0,0,0,-0.6093
"O_CrtvImag",2.6643,0,0,-0.6679,0.877,-1.3283,0.1356,0,0.2674,0.6083,0.9433,-1.1118,0,1.3582,-1.1136,0,0,-0.7889,0,0.6613,0.5352,0,-0.9099,-0.3008,0.6383,0,0,1.5968,0,-0.421,0
"O_IntCur",0,-0.3434,0.4462,0.4319,0.4367,-0.5805,0.1088,0.1706,0,0.0956,0.6432,0.2672,-0.3174,0.1246,0.3366,0.6941,-0.1286,0.2438,0,0.2699,0,0,0.2578,-0.2887,0,0.2646,-0.2053,0,0.5124,0,0
"cumsumT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
