"","A_Cmpnlag","A_Rspctlag","A_Trustlag","C_Orglag","C_Prdctvlag","C_Rspnbllag","E_Assertlag","E_EnerLevlag","E_Scbltylag","N_Anxtylag","N_Deprlag","N_EmoVollag","O_AesSenslag","O_CrtvImaglag","O_IntCurlag","A_Cmpn","A_Rspct","A_Trust","C_Org","C_Prdctv","C_Rspnbl","E_Assert","E_EnerLev","E_Scblty","N_Anxty","N_Depr","N_EmoVol","O_AesSens","O_CrtvImag","O_IntCur","cumsumT"
"A_Cmpn",0.1499,0,0,0,0,0,-0.5343,0,0,0,0,0,0.2594,0,0,0,0,0,-0.2782,0,0.3933,0.5241,0,0,0,0,0,0,0,0,0
"A_Rspct",0,-0.1991,0,0,0,0,0,-0.407,0,0,0,0,0,0,0,0.4232,0,0.6118,-0.3344,0,0,0,0,0,0,0,0,0,0,0,0
"A_Trust",0,0,0.6637,0,-0.2912,0,0,0,0,0,0,-0.3858,0,0,0,0.421,-0.846,0,0,0,0,0,0,0,0,-0.3259,0,-0.506,0,0,0
"C_Org",0,0,0,-0.0901,0.2437,0,0,0,-0.3721,0,0,0.2414,0,0,0,0,0,0,0,0,0,0,0.2591,0,0,0,0,0,0,0,0
"C_Prdctv",0,0,0,0,0.0512,0,0,-0.5493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.241,0,0,0,0,0,0,0,0
"C_Rspnbl",0,0,0,0,0,-0.0076,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3587,0,0,0,0,0,0,0,0,0.2142,0,0
"E_Assert",0,0,0,-0.4367,0,0.5453,0.1326,0.7771,-0.3241,0.2617,0,-0.2431,0,0,0.268,-0.251,0,0,0,0.3942,0,0,0,0,0,0,0,0,0,0,0
"E_EnerLev",0,0,0,0,0,0,0,0.1466,0,0,0,0,0.2275,-0.2468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2649,0,0
"E_Scblty",0,0,0,-0.3659,0,0,0.4715,0.3687,-0.2289,0,0,0,0.3354,0,0,0,0.197,0,0,0,0,0.3164,0.1518,0,0,0,0,0,0,0,0
"N_Anxty",0,0,0,0,0,0,0,0,0,-0.1586,0,0,0,0,0,0,0.4069,0,0,0,0,0,0,-0.3403,0,-0.314,0,0,0.208,0,0.2169
"N_Depr",0,0.2993,0,0,0,0.5194,-0.509,0,0,0,-0.0089,0,0,0,0,0,0,0,0,0,0,-0.6036,0,0.3041,0,0,0,0,0,0,0
"N_EmoVol",-0.5626,0,0,0,0,0,0,0,0,0,0,-0.2704,0,0,0,0,-0.2512,0,0,-0.2195,0,0,0,0,0,0,0,0,0,0.1968,0
"O_AesSens",0,0,0,0,0,-0.7401,0,0,0,0,0,0,-0.0887,0,0,0,0,0,0,-0.2561,0,0.4886,0,0,0,0,0,0,0,0,0
"O_CrtvImag",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O_IntCur",0,0,0,0,0,0,0,0,-0.329,0,0,0,0,0,-0.1449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cumsumT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
