"","A_Cmpnlag","A_Rspctlag","A_Trustlag","C_Orglag","C_Prdctvlag","C_Rspnbllag","E_Assertlag","E_EnerLevlag","E_Scbltylag","N_Anxtylag","N_Deprlag","N_EmoVollag","O_AesSenslag","O_CrtvImaglag","O_IntCurlag","A_Cmpn","A_Rspct","A_Trust","C_Org","C_Prdctv","C_Rspnbl","E_Assert","E_EnerLev","E_Scblty","N_Anxty","N_Depr","N_EmoVol","O_AesSens","O_CrtvImag","O_IntCur","cumsumT"
"A_Cmpn",3.2117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.7931,0,8.954,0,-1.9227,0,0,0,0,0,0,0,-0.6379,0,0
"A_Rspct",-0.3495,-0.4322,0,0,0,-0.0629,0.7532,0.0945,-0.2956,-0.862,0,-0.2031,-0.2639,-0.0868,0.2045,0.0911,0,0,-0.6103,0.4345,0.4373,0,-0.0779,0,0,-0.3399,0,0.2395,0,0,0
"A_Trust",0,0,-0.168,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.361,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4803
"C_Org",0,0,0,-0.4328,1.0891,0,0.5527,0,-0.3207,0,0,0.5284,0,0,-0.2773,-1.3583,0,0,0,0,0.0386,0,0,-0.2586,0,0,0,0,0,0.4971,0
"C_Prdctv",0.6179,0,0,0,-0.043,0.6239,0,0,0,0,0,0,0.2486,-0.7387,0,0,0,0,0,0,0.3926,0,0,0,0,0,0,0,0,0,0
"C_Rspnbl",0,0,0,0,0,-0.1568,0,0,0,0.4807,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3653,0,0,0,0,0,0,0.4279
"E_Assert",0,0,0,0,0,0,-0.2155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0605,0,0,0,0,0,0
"E_EnerLev",0,0,-0.2183,0,0,0,0,0.2333,0,0,0,0,0,0,-0.3244,0,0.5773,0,0,0,0,0,0,0,0,0,-0.2995,0,0,0.2661,0
"E_Scblty",0,0.4053,0,-0.5955,0,0,0,0,-0.2982,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4426,0,0,0,0,0,0,0,0
"N_Anxty",0,0,0,0,0,0,0,0,0,0.485,0,0.0435,0,0,0,-0.2009,0,0,0,0.3106,-0.821,0.8493,0,0,0,0,0.4301,0,0,0,0
"N_Depr",0,0,0,0,0,0,0,0,0,0,0.4043,0,0,0,0,-0.4847,0,0,0,0,-0.2056,0,0,0,0,0,0,0,0,0,0
"N_EmoVol",-0.4939,0,0,0,-0.9999,0,0.3782,0,0,0,0,0.0075,-0.4434,0.2129,0,0,-0.4888,0,0,0.1651,0,0.4377,0.3981,0,0,0.281,0,0.5151,0,0,0
"O_AesSens",0,0,0,0,0.6212,0,0,0,0,0,0,0,0.2684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O_CrtvImag",0,0,0,0,0,0,0,0,0,0,0,0,0,0.3179,0,0.4655,0,0,0,0,0,0,0,0.2934,0,0,0,0,0,0,0
"O_IntCur",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4862
"cumsumT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
