"","A_Cmpnlag","A_Rspctlag","A_Trustlag","C_Orglag","C_Prdctvlag","C_Rspnbllag","E_Assertlag","E_EnerLevlag","E_Scbltylag","N_Anxtylag","N_Deprlag","N_EmoVollag","O_AesSenslag","O_CrtvImaglag","O_IntCurlag","A_Cmpn","A_Rspct","A_Trust","C_Org","C_Prdctv","C_Rspnbl","E_Assert","E_EnerLev","E_Scblty","N_Anxty","N_Depr","N_EmoVol","O_AesSens","O_CrtvImag","O_IntCur","cumsumT"
"A_Cmpn",0.1172,0,0,0,0,0,0,0,0,0,0,0,0.1185,0.1279,0,0,0,0,0.1234,0,0,0,0,0,0,0,0,0,0.1159,0,0
"A_Rspct",0,0.1044,0,0,0,0,0,0,0,0,0,0,0,0,0.1087,0,0,0,0.1102,0,0,0,0,0,0,0,0,0,0.1276,0,0
"A_Trust",0,0,0.102,0,0,0,0.1166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1107,0,0.1065,0,0,0,0,0
"C_Org",0,0,0,0.116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1325,0,0,0,0,0,0,0,0,0,0,0
"C_Prdctv",0.1351,0,0.1363,0,0.1607,0,0,0,0,0.1342,0,0,0,0,0,0.1386,0.1621,0,0,0,0.1882,0,0.1246,0,0,0,0,0,0,0,0
"C_Rspnbl",0,0,0,0,0,0.1235,0,0,0.1328,0,0,0,0,0,0,0,0,0,0,0.1608,0,0,0,0,0,0,0,0,0,0,0
"E_Assert",0.1668,0,0,0,0,0,0.2268,0,0,0,0,0.1743,0,0,0,0.1543,0,0,0,0,0,0,0.2182,0.2742,0,0.165,0,0,0,0,0
"E_EnerLev",0,0,0,0,0,0,0,0.1484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1546,0,0,0,0,0,0.1206,0
"E_Scblty",0,0,0,0,0,0,0,0,0.1576,0,0,0,0,0,0.1233,0,0,0,0,0,0,0.2174,0,0,0,0,0.1551,0,0,0,0
"N_Anxty",0,0,0,0,0,0,0,0,0,0.1296,0,0,0,0,0,0,0,0,0,0,0.1276,0,0,0,0,0,0,0,0,0,0.1271
"N_Depr",0,0,0,0,0,0,0,0,0,0,0.1051,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1043,0,0.1038,0,0,0,0
"N_EmoVol",0,0,0,0,0,0,0,0,0,0,0,0.1249,0,0,0,0,0,0,0,0,0,0,0,0,0.1122,0,0,0,0,0,0
"O_AesSens",0,0,0,0,0,0.1314,0,0.1349,0,0,0.1246,0,0.1297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O_CrtvImag",0,0,0,0.1313,0.1764,0.1159,0,0,0,0.1093,0,0.1309,0,0.1055,0,0,0.1874,0,0,0,0.1115,0,0,0,0,0.1168,0,0,0,0,0
"O_IntCur",0,0,0,0.1167,0,0,0,0,0,0,0,0,0,0,0.1175,0,0,0,0,0.1147,0,0,0,0,0,0,0,0,0,0,0.1193
"cumsumT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
