"","A_Cmpnlag","A_Rspctlag","A_Trustlag","C_Orglag","C_Prdctvlag","C_Rspnbllag","E_Assertlag","E_EnerLevlag","E_Scbltylag","N_Anxtylag","N_Deprlag","N_EmoVollag","O_AesSenslag","O_CrtvImaglag","O_IntCurlag","A_Cmpn","A_Rspct","A_Trust","C_Org","C_Prdctv","C_Rspnbl","E_Assert","E_EnerLev","E_Scblty","N_Anxty","N_Depr","N_EmoVol","O_AesSens","O_CrtvImag","O_IntCur","cumsumT"
"A_Cmpn",0.0995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1005,0,0,0,0
"A_Rspct",0,0.1982,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2341,0,0.4049,0,0.1717,0,0,0,0,0,0,0,0,0,0,0
"A_Trust",0,0,0.1014,0.096,0,0,0,0,0,0,0,0,0,0,0.0965,0,0.1336,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C_Org",0,0,0,0.1939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6127,0,0,0.2785,0,0,0,0,0,0,0,0
"C_Prdctv",0.1376,0,0,0,0.1271,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2605,0,0,0,0,0,0,0,0,0,0,0,0
"C_Rspnbl",0,0,0.0978,0,0,0.0957,0,0,0,0,0,0,0,0,0,0,0,0,0,0.096,0,0,0,0,0,0,0,0,0,0,0
"E_Assert",0,0,0,0,0,0,0.5845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.551,0,0,0,0,0,0,0
"E_EnerLev",0,0,0,0,0,0,0,0.1136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1151,0,0,0,0,0
"E_Scblty",0,0,0,0,0,0,0,0,5.761,0,0,0,0,0,0,0,0,0,0,0,0,33.7091,0,0,0,0,0,0,0,0,0
"N_Anxty",0,0,0,0,0,0,0,0,0,0.1143,0,0,0,0,0,0,0.1172,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N_Depr",0,0,0,0,0,0,0,0,0,0,0.0819,0,0,0,0,0,0,0,0,0,0.0856,0,0,0,0.0861,0,0,0,0,0,0
"N_EmoVol",0,0,0,0,0,0,0,0,0,0,0,0.104,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1044,0,0,0,0,0
"O_AesSens",0,0,0,0,0,0,0,0,0,0,0,0,0.1275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O_CrtvImag",0,0,0,0,0,0,0,0,0,0,0,0,0,0.1103,0,0,0.1098,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O_IntCur",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cumsumT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
