"","A_Cmpnlag","A_Rspctlag","A_Trustlag","C_Orglag","C_Prdctvlag","C_Rspnbllag","E_Assertlag","E_EnerLevlag","E_Scbltylag","N_Anxtylag","N_Deprlag","N_EmoVollag","O_AesSenslag","O_CrtvImaglag","O_IntCurlag","A_Cmpn","A_Rspct","A_Trust","C_Org","C_Prdctv","C_Rspnbl","E_Assert","E_EnerLev","E_Scblty","N_Anxty","N_Depr","N_EmoVol","O_AesSens","O_CrtvImag","O_IntCur","cumsumT"
"A_Cmpn",0.1339,0,0,0,0,0,0,0,0.1446,0,0.148,0,0,0,0,0,0,0,0,0,0.1533,0,0,0,0,0,0.1498,0,0.1961,0,0
"A_Rspct",0,0.1121,0.1103,0,0,0,0,0,0,0,0,0.1103,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1107,0,0,0,0,0
"A_Trust",0,0,0.124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C_Org",0.1274,0,0.1207,0.1254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C_Prdctv",0,0.1239,0,0,0.1216,0,0,0,0,0,0,0,0,0,0,0.1682,0,0,0,0,0,0,0.1344,0.1727,0,0,0,0,0,0,0
"C_Rspnbl",0,0,0,0,0,0.1244,0,0,0,0.1279,0,0,0,0,0,0,0,0,0,0,0,0.1393,0,0,0,0,0,0,0,0,0.1256
"E_Assert",0.091,0,0,0.0879,0,0,0.0962,0,0,0,0.1012,0,0.0927,0,0.0901,0.0907,0,0,0,0,0,0,0,0.0852,0,0,0,0,0,0,0
"E_EnerLev",0,0,0,0,0.1061,0.1018,0,0.0947,0,0,0,0,0.0916,0.0986,0.0952,0,0,0.101,0,0,0,0,0,0.0995,0,0,0,0,0,0,0
"E_Scblty",0,0,0,0,0,0,0,0,0.1342,0.1358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1303,0,0,0,0.1652,0.1212,0
"N_Anxty",0.1071,0.0985,0,0.1015,0,0,0.1077,0.1023,0.1125,0.105,0,0,0,0,0,0,0,0.1046,0,0,0,0,0,0,0,0,0,0,0,0,0
"N_Depr",0,0,0,0,0,0,0,0,0,0,0.1304,0,0,0,0,0,0,0,0,0,0,0,0,0.126,0,0,0,0,0,0,0
"N_EmoVol",0,0,0,0,0,0,0,0,0,0,0,0.1188,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1199,0,0,0.1313,0,0
"O_AesSens",0.1228,0,0,0.1196,0,0,0,0,0,0,0,0,0.1139,0,0,0,0,0,0,0,0,0,0,0,0,0.1151,0,0,0,0,0
"O_CrtvImag",0,0,0,0,0,0,0,0,0,0,0,0,0.1565,0.1446,0,0,0,0,0,0.2325,0,0,0,0,0,0,0,0,0,0,0
"O_IntCur",0,0,0,0,0,0.1234,0,0,0,0,0,0,0,0.1221,0.1207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1244
"cumsumT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
