"","A_Cmpnlag","A_Rspctlag","A_Trustlag","C_Orglag","C_Prdctvlag","C_Rspnbllag","E_Assertlag","E_EnerLevlag","E_Scbltylag","N_Anxtylag","N_Deprlag","N_EmoVollag","O_AesSenslag","O_CrtvImaglag","O_IntCurlag","A_Cmpn","A_Rspct","A_Trust","C_Org","C_Prdctv","C_Rspnbl","E_Assert","E_EnerLev","E_Scblty","N_Anxty","N_Depr","N_EmoVol","O_AesSens","O_CrtvImag","O_IntCur","cumsumT"
"A_Cmpn",0.2013,0,0,0,0,0,0,0,0,0,0,0,0,0.1924,0,0,0,0.4039,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_Rspct",0,0.1195,0,0,0,0,0,0.1236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1136,0,0,0,0,0,0,0
"A_Trust",0,0,0.1636,0,0,0,0,0,0,0,0.1872,0.1555,0,0.1866,0,0.2997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1667
"C_Org",0,0,0,0.1255,0.1404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1206,0,0,0,0,0,0,0,0,0,0
"C_Prdctv",0,0,0,0.1273,0.1409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C_Rspnbl",0,0,0.1465,0,0,0.1318,0,0,0,0,0,0,0,0,0,0,0,0,0,0.126,0,0,0,0,0,0,0,0,0,0.1524,0
"E_Assert",0,0,0,0,0.1357,0,0.138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1244,0
"E_EnerLev",0,0,0,0,0,0,0,0.1322,0,0.1258,0,0,0,0,0,0,0,0,0.1167,0,0,0,0,0.1178,0,0,0,0,0.115,0,0
"E_Scblty",0,0,0,0.1126,0,0.1306,0,0,0.1411,0,0,0,0,0,0,0,0,0,0.1116,0,0,0.1052,0,0,0,0.1145,0,0,0,0,0.107
"N_Anxty",0,0,0,0.0841,0,0,0.0911,0,0,0.1159,0.1046,0,0,0,0.0867,0,0,0,0,0,0.0793,0,0,0.1029,0,0.0893,0,0,0,0.0913,0.0974
"N_Depr",0,0,0,0,0.1177,0,0,0,0.1282,0,0.1453,0.1284,0,0,0,0,0,0,0,0.1091,0,0,0,0,0,0,0.1342,0,0,0,0
"N_EmoVol",0.0908,0.0615,0.0648,0.0677,0,0.0788,0.0714,0,0,0,0,0.0689,0.0774,0.0738,0.0706,0,0.0754,0,0,0,0.0712,0.063,0,0.0796,0,0.0734,0,0,0.0775,0,0.072
"O_AesSens",0,0.1028,0,0.0944,0,0,0,0,0,0,0,0.1017,0.1229,0,0.0994,0,0,0,0.1018,0,0,0,0,0,0,0,0,0,0,0,0.1036
"O_CrtvImag",0,0,0,0,0,0.139,0,0,0,0,0,0.1209,0,0.1431,0.1197,0,0,0,0,0,0.1115,0,0,0,0,0,0,0,0,0,0
"O_IntCur",0,0,0.1442,0,0,0,0,0,0,0,0,0,0,0,0.136,0,0,0,0,0,0,0,0,0,0,0,0.1415,0,0,0,0
"cumsumT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
