"","cumsumT","A_Cmpnlag","A_Rspctlag","A_Trustlag","C_Orglag","C_Prdctvlag","C_Rspnbllag","E_Assertlag","E_EnerLevlag","E_Scbltylag","N_Anxtylag","N_Deprlag","N_EmoVollag","O_AesSenslag","O_CrtvImaglag","O_IntCurlag","A_Cmpn","A_Rspct","A_Trust","C_Org","C_Prdctv","C_Rspnbl","E_Assert","E_EnerLev","E_Scblty","N_Anxty","N_Depr","N_EmoVol","O_AesSens","O_CrtvImag","O_IntCur"
"cumsumT",1,-0.1113,-0.3394,-0.2458,0.0117,-0.0639,-0.0307,0.0063,0.0152,-0.0204,-0.0034,0.1921,0.1509,0.0609,-0.0389,-0.0939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_Cmpnlag",-0.1113,1,0.4426,0.3906,0.0787,0.0706,0.2579,0.0354,0.3034,0.0783,-0.098,-0.2842,-0.3516,0.0315,0.3072,-0.0559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_Rspctlag",-0.3394,0.4426,1,0.3499,0.066,0.1061,0.2264,0.2814,0.5015,0.2274,-0.1926,-0.4527,-0.4215,-0.0279,0.2912,0.2027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_Trustlag",-0.2458,0.3906,0.3499,1,0.1949,0.2428,0.0146,0.0521,0.3264,0.4147,-0.4845,-0.4925,-0.3686,0.0381,0.4008,0.0093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C_Orglag",0.0117,0.0787,0.066,0.1949,1,0.4784,0.3877,0.023,0.2966,0.1703,-0.3562,-0.217,-0.1803,-0.3014,0.1716,0.0433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C_Prdctvlag",-0.0639,0.0706,0.1061,0.2428,0.4784,1,0.426,0.3195,0.262,0.2626,-0.3563,-0.4739,-0.213,-0.2562,0.2729,0.1268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C_Rspnbllag",-0.0307,0.2579,0.2264,0.0146,0.3877,0.426,1,0.0282,0.3464,0.0849,-0.2318,-0.2871,-0.1936,-0.5305,0.1085,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E_Assertlag",0.0063,0.0354,0.2814,0.0521,0.023,0.3195,0.0282,1,0.1761,0.2001,-0.0465,-0.2703,-0.2579,0.0668,0.1933,0.0729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E_EnerLevlag",0.0152,0.3034,0.5015,0.3264,0.2966,0.262,0.3464,0.1761,1,0.579,-0.5933,-0.7407,-0.5382,-0.2037,0.4804,0.2607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E_Scbltylag",-0.0204,0.0783,0.2274,0.4147,0.1703,0.2626,0.0849,0.2001,0.579,1,-0.6352,-0.617,-0.4321,-0.1245,0.2401,0.1288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
