"","A_Cmpnlag","A_Rspctlag","A_Trustlag","C_Orglag","C_Prdctvlag","C_Rspnbllag","E_Assertlag","E_EnerLevlag","E_Scbltylag","N_Anxtylag","N_Deprlag","N_EmoVollag","O_AesSenslag","O_CrtvImaglag","O_IntCurlag","A_Cmpn","A_Rspct","A_Trust","C_Org","C_Prdctv","C_Rspnbl","E_Assert","E_EnerLev","E_Scblty","N_Anxty","N_Depr","N_EmoVol","O_AesSens","O_CrtvImag","O_IntCur","cumsumT"
"A_Cmpn",0.2071,0,0,0,0,0,0,0,0.1712,0,0,0,0,0,0.177,0,0.1686,0.2213,0,0,0,0,0,0.2078,0,0,0.1868,0,0,0.2199,0
"A_Rspct",0.1639,0.1311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1904,0,0.1557,0.1416,0,0,0,0,0,0,0.142,0,0
"A_Trust",0.1615,0,0.1504,0,0,0,0,0,0.1379,0,0,0,0,0,0,0,0,0,0.1616,0,0,0,0,0,0,0.136,0,0,0.1751,0.1464,0
"C_Org",0,0,0,0.1001,0,0.1025,0,0,0,0,0.1155,0,0,0,0.1067,0.1119,0.132,0.1256,0,0,0,0,0,0,0,0,0,0,0,0,0.1478
"C_Prdctv",0.2207,0.2228,0.3071,0,0.4023,0,0.2548,0.3794,0,0,0.4468,0,0.3157,0.3273,0.264,0.3508,0,0,0.4342,0,0.5855,0.4223,0,0,0,0.3665,0.4186,0,0,0,0.8073
"C_Rspnbl",0.0339,0,0.0211,0.0114,0.0178,0.0245,0.0178,0.0105,0.01,0.0104,0.0159,0.021,0.011,0.022,0.0161,0.0128,0,0.0135,0.0159,0.017,0,0.0181,0.0157,0.0141,0.011,0.0207,0.0151,0.0225,0.0126,0.0187,0.0323
"E_Assert",0,0.117,0,0,0,0,0.1522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1659,0,0,0,0,0.1555
"E_EnerLev",0,0.0942,0.1023,0.0941,0,0,0,0.099,0,0,0,0,0,0.1026,0,0.0954,0,0.1011,0.1153,0.0819,0,0.099,0,0.0892,0.1048,0,0,0.084,0.0857,0,0
"E_Scblty",0.1308,0.0825,0,0.0748,0,0.1339,0.0941,0.0937,0.0867,0.0859,0.1546,0,0.0946,0.0949,0,0,0,0.0991,0.1145,0,0.1371,0,0,0,0,0.1056,0,0.089,0,0.0863,0.1341
"N_Anxty",0,0.1058,0,0,0,0.1129,0.1482,0,0.1029,0.1072,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1087,0,0.1292,0,0,0,0.107,0.13
"N_Depr",0,0.3134,0,0,0,0,0.3986,0,0,0,0.4197,0,0,0,0,0,0,0,0,0.8124,0,0,0,0,0,0,0,0,0,0,0.6952
"N_EmoVol",0,0,0.1918,0,0.2012,0,0,0,0.1614,0.1785,0,0.2081,0,0,0.2057,0,0,0,0,0,0,0,0.174,0,0,0.2492,0,0,0,0,0
"O_AesSens",0.1229,0,0,0.1125,0,0,0,0.1199,0,0,0,0,0.1221,0,0,0,0,0,0,0.1178,0.1185,0,0,0,0.1287,0,0,0,0,0,0.1404
"O_CrtvImag",0.4351,0,0,0.1329,0.2513,0.2859,0.2119,0,0.13,0.1391,0.3149,0.2364,0,0.3201,0.2283,0,0,0.1689,0,0.2264,0.1933,0,0.2783,0.1857,0.1802,0,0,0.3019,0,0.2414,0
"O_IntCur",0,0.0387,0.0759,0.0426,0.0623,0.0515,0.0601,0.0464,0,0.0479,0.0619,0.0504,0.0385,0.055,0.0537,0.0499,0.0456,0.0515,0,0.0427,0,0,0.065,0.0495,0,0.0676,0.0595,0,0.0433,0,0
"cumsumT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
