"","A_Cmpnlag","A_Rspctlag","A_Trustlag","C_Orglag","C_Prdctvlag","C_Rspnbllag","E_Assertlag","E_EnerLevlag","E_Scbltylag","N_Anxtylag","N_Deprlag","N_EmoVollag","O_AesSenslag","O_CrtvImaglag","O_IntCurlag","A_Cmpn","A_Rspct","A_Trust","C_Org","C_Prdctv","C_Rspnbl","E_Assert","E_EnerLev","E_Scblty","N_Anxty","N_Depr","N_EmoVol","O_AesSens","O_CrtvImag","O_IntCur","cumsumT"
"A_Cmpn",-0.1322,0,0,0,0,0,0,0,0,0,0,0,-0.391,0.3437,0,0,0,0,0.4594,0,0,0,0,0,0,0,0,0,0.2129,0,0
"A_Rspct",0,-0.3269,0,0,0,0,0,0,0,0,0,0,0,0,-0.4222,0,0,0,-0.2511,0,0,0,0,0,0,0,0,0,0.882,0,0
"A_Trust",0,0,0.0549,0,0,0,0.552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2645,0,-0.5601,0,0,0,0,0
"C_Org",0,0,0,0.0406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6532,0,0,0,0,0,0,0,0,0,0,0
"C_Prdctv",-0.3382,0,-0.3882,0,0.5692,0,0,0,0,-0.3508,0,0,0,0,0,-0.2851,0.6276,0,0,0,-0.4072,0,0.5114,0,0,0,0,0,0,0,0
"C_Rspnbl",0,0,0,0,0,0.1778,0,0,0.2897,0,0,0,0,0,0,0,0,0,0,0.5201,0,0,0,0,0,0,0,0,0,0,0
"E_Assert",-0.4618,0,0,0,0,0,0.8928,0,0,0,0,0.3219,0,0,0,0.4179,0,0,0,0,0,0,-0.4026,-0.5331,0,-0.6351,0,0,0,0,0
"E_EnerLev",0,0,0,0,0,0,0,0.0487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5867,0,0,0,0,0,0.2109,0
"E_Scblty",0,0,0,0,0,0,0,0,-0.2087,0,0,0,0,0,0.22,0,0,0,0,0,0,1.0478,0,0,0,0,0.352,0,0,0,0
"N_Anxty",0,0,0,0,0,0,0,0,0,-0.0848,0,0,0,0,0,0,0,0,0,0,-0.3448,0,0,0,0,0,0,0,0,0,0.3315
"N_Depr",0,0,0,0,0,0,0,0,0,0,0.0147,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5788,0,0.1993,0,0,0,0
"N_EmoVol",0,0,0,0,0,0,0,0,0,0,0,0.1411,0,0,0,0,0,0,0,0,0,0,0,0,0.4947,0,0,0,0,0,0
"O_AesSens",0,0,0,0,0,0.2696,0,-0.5612,0,0,-0.2633,0,0.1941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O_CrtvImag",0,0,0,0.6758,-0.6789,0.3326,0,0,0,0.4583,0,-0.583,0,0.1729,0,0,-0.3994,0,0,0,0.2268,0,0,0,0,-0.5123,0,0,0,0,0
"O_IntCur",0,0,0,0.2989,0,0,0,0,0,0,0,0,0,0,-0.2588,0,0,0,0,0.271,0,0,0,0,0,0,0,0,0,0,0.3756
"cumsumT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
