"","A_Cmpnlag","A_Rspctlag","A_Trustlag","C_Orglag","C_Prdctvlag","C_Rspnbllag","E_Assertlag","E_EnerLevlag","E_Scbltylag","N_Anxtylag","N_Deprlag","N_EmoVollag","O_AesSenslag","O_CrtvImaglag","O_IntCurlag","A_Cmpn","A_Rspct","A_Trust","C_Org","C_Prdctv","C_Rspnbl","E_Assert","E_EnerLev","E_Scblty","N_Anxty","N_Depr","N_EmoVol","O_AesSens","O_CrtvImag","O_IntCur","cumsumT"
"A_Cmpn",0.1644,0,0,0,0,0,0.1581,0,0,0,0,0,0.1295,0,0,0,0,0,0.1196,0,0.1086,0.1424,0,0,0,0,0,0,0,0,0
"A_Rspct",0,0.1807,0,0,0,0,0,0.181,0,0,0,0,0,0,0,0.1438,0,0.2547,0.1523,0,0,0,0,0,0,0,0,0,0,0,0
"A_Trust",0,0,0.1515,0,0.133,0,0,0,0,0,0,0.128,0,0,0,0.1411,0.2094,0,0,0,0,0,0,0,0,0.1199,0,0.124,0,0,0
"C_Org",0,0,0,0.1341,0.1387,0,0,0,0.1238,0,0,0.1253,0,0,0,0,0,0,0,0,0,0,0.1151,0,0,0,0,0,0,0,0
"C_Prdctv",0,0,0,0,0.1434,0,0,0.1286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1144,0,0,0,0,0,0,0,0
"C_Rspnbl",0,0,0,0,0,0.159,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1194,0,0,0,0,0,0,0,0,0.1201,0,0
"E_Assert",0,0,0,0.1277,0,0.1603,0.1765,0.1616,0.1381,0.1256,0,0.1262,0,0,0.1281,0.1568,0,0,0,0.1393,0,0,0,0,0,0,0,0,0,0,0
"E_EnerLev",0,0,0,0,0,0,0,0.1438,0,0,0,0,0.1306,0.1341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122,0,0
"E_Scblty",0,0,0,0.0923,0,0,0.1197,0.111,0.1046,0,0,0,0.0874,0,0,0,0.0853,0,0,0,0,0.0947,0.0781,0,0,0,0,0,0,0,0
"N_Anxty",0,0,0,0,0,0,0,0,0,0.1475,0,0,0,0,0,0,0.103,0,0,0,0,0,0,0.1096,0,0.1027,0,0,0.105,0,0.1085
"N_Depr",0,0.1227,0,0,0,0.1597,0.169,0,0,0,0.1342,0,0,0,0,0,0,0,0,0,0,0.1348,0,0.1419,0,0,0,0,0,0,0
"N_EmoVol",0.1614,0,0,0,0,0,0,0,0,0,0,0.1204,0,0,0,0,0.1165,0,0,0.1117,0,0,0,0,0,0,0,0,0,0.1128,0
"O_AesSens",0,0,0,0,0,0.1381,0,0,0,0,0,0,0.1136,0,0,0,0,0,0,0.1063,0,0.1112,0,0,0,0,0,0,0,0,0
"O_CrtvImag",0,0,0,0,0,0,0,0,0,0,0,0,0,0.1463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O_IntCur",0,0,0,0,0,0,0,0,0.1438,0,0,0,0,0,0.173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cumsumT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
