"","A_Cmpnlag","A_Rspctlag","A_Trustlag","C_Orglag","C_Prdctvlag","C_Rspnbllag","E_Assertlag","E_EnerLevlag","E_Scbltylag","N_Anxtylag","N_Deprlag","N_EmoVollag","O_AesSenslag","O_CrtvImaglag","O_IntCurlag","A_Cmpn","A_Rspct","A_Trust","C_Org","C_Prdctv","C_Rspnbl","E_Assert","E_EnerLev","E_Scblty","N_Anxty","N_Depr","N_EmoVol","O_AesSens","O_CrtvImag","O_IntCur","cumsumT"
"A_Cmpn",-0.2843,0,0.2884,0,0,0,0,0,0,0,0,0,0,0,0.2271,0,0,0,0,0,0.3096,0,0,0,0,0,0,0,0.3277,0.5061,0
"A_Rspct",0,-0.2995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3108,0,0,0,0,-0.3893,0,0,0,0,0.6855
"A_Trust",-0.4692,0,0.352,0,0,0,0.4904,-0.3556,0,0,0,0.3202,0,0,0,0,0,0,0,0,0,-0.2822,0,0,0,0,0,0,0,0.7129,0
"C_Org",0,0,0,-0.1018,0,0,0,0,0,0.3964,0,0.3064,0,0,0,0,0,0,0,0.3518,0,0,0,0,0,0,0,0,0,0.6993,0
"C_Prdctv",0,0,0,0,-0.0426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5245,0,0,0,-0.3415,0,0,0,0
"C_Rspnbl",-0.491,0,0.21,0,0,0.2207,0,0,0,0,0,0,0,0,0,0,0,0,0.4051,0,0,0,0,0,-0.3323,0,0,0,0,0,0
"E_Assert",0,0,0,0,-0.3401,0,0.2857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6254,0,0,0,0,-0.4628,0,0.5344,0
"E_EnerLev",0,0,0.2409,0,0,0,0.2187,-0.0795,0,0.1417,0,-0.1636,-0.3094,-0.1369,-0.3339,0.2483,0.2129,0,0.8072,-0.2959,0,0,0,0.5853,0.1536,0.146,0,0.1407,0,-0.2857,-0.6182
"E_Scblty",0,0,0,0,0,0,0,0,1.7468,0,0,0,0,0,0,0,0,-0.6591,0,0,0,-1.8687,0,0,0,0,-2.4551,0,0.9054,-1.0303,0
"N_Anxty",0,0,0,0,0,0,0,0,0,0.0233,0,0,0,0,0,0,0,0,0,0,0,0,-0.4701,0,0,0,0,0,0,0,0.3805
"N_Depr",0.298,-0.2203,0,0,0,-0.4029,0,0,0,0,-0.0991,0,0,-0.2747,0,0,0,-0.3464,0,0,0,0,0,0,0.3601,0,0,0,-0.2038,0,0.4628
"N_EmoVol",0.3126,0,0,0,0,-0.8258,0,1.0155,0,0,0,7e-04,-0.3102,-0.8019,0,0,0,0,0.5138,0,0,0,0,0,0,0,0,0,0,0,0.461
"O_AesSens",0,0,0,0,0,0,0,0,0.3289,0,0,0,-0.4373,0,0,0,0,0,0,-0.3984,0,0,0,0,0,0,0,0,0,0,0
"O_CrtvImag",0,0,0,0,0,0,0,0,0,0.2816,0,0,0,-0.0863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O_IntCur",0,0,-0.3859,0,0,0,0,0,0.3993,0,0,0,0,0,-0.1855,0,0,0,0,0,0,0,0,1.3552,0,0,0,0,0,0,0.6965
"cumsumT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
