"","A_Cmpnlag","A_Rspctlag","A_Trustlag","C_Orglag","C_Prdctvlag","C_Rspnbllag","E_Assertlag","E_EnerLevlag","E_Scbltylag","N_Anxtylag","N_Deprlag","N_EmoVollag","O_AesSenslag","O_CrtvImaglag","O_IntCurlag","A_Cmpn","A_Rspct","A_Trust","C_Org","C_Prdctv","C_Rspnbl","E_Assert","E_EnerLev","E_Scblty","N_Anxty","N_Depr","N_EmoVol","O_AesSens","O_CrtvImag","O_IntCur"
"A_Cmpn",0.1332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1341,0,0,0,0,0,0,0
"A_Rspct",0,0.1471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_Trust",0,0,0.1125,0,0,0,0,0,0,0,0,0,0,0,0,0.1124,0,0,0,0,0,0,0,0,0.1166,0,0,0,0,0
"C_Org",0,0.1087,0,0.1283,0,0,0,0,0,0,0,0.1048,0,0,0,0,0,0.1037,0,0,0.1317,0,0,0,0,0,0,0,0,0.1057
"C_Prdctv",0,0,0,0,0.1162,0,0.1292,0,0,0,0.1251,0,0.1268,0,0,0,0,0,0,0,0.1237,0,0,0,0,0,0,0,0,0
"C_Rspnbl",0,0.1129,0,0.1176,0,0.1241,0,0,0.1204,0,0,0,0,0,0,0,0.1114,0,0,0,0,0,0,0,0,0,0,0,0.1336,0
"E_Assert",0,0,0,0,0,0,0.136,0,0,0,0,0,0,0,0.1344,0,0,0,0,0,0,0,0.136,0,0,0,0,0,0,0
"E_EnerLev",0,0,0,0,0,0,0,0.119,0,0,0,0,0,0,0,0,0,0,0,0.1263,0,0,0,0.1271,0,0,0,0,0,0
"E_Scblty",0,0,0,0,0,0,0,0,0.1386,0,0.1328,0,0.1489,0.1379,0,0,0,0,0,0,0.148,0,0,0,0,0,0,0,0,0
"N_Anxty",0.1099,0,0,0,0,0,0,0.1264,0.1181,0.0986,0,0,0.0993,0,0.1032,0.1079,0,0,0,0,0,0,0.1082,0,0,0,0.0975,0.0963,0,0
"N_Depr",0,0,0,0,0,0,0,0,0,0,0.1217,0,0,0,0,0,0,0,0,0,0.1184,0.1166,0,0,0,0,0.1222,0,0,0
"N_EmoVol",0,0,0,0,0,0,0,0,0,0,0.1291,0.1282,0,0,0,0,0,0.1257,0,0,0,0,0,0,0,0,0,0,0,0.1204
"O_AesSens",0,0,0,0,0,0,0,0,0,0,0,0,0.1445,0,0,0,0,0,0.1543,0,0,0.1424,0,0,0,0,0,0,0,0
"O_CrtvImag",0,0,0,0,0,0,0,0,0,0.1207,0,0,0,0.1188,0,0,0,0.1258,0,0,0,0,0.1371,0,0,0,0,0.1262,0,0
"O_IntCur",0,0,0,0,0,0,0,0.1359,0,0,0,0,0,0,0.1371,0,0.1298,0,0,0,0,0,0,0.1269,0,0,0,0,0,0
