"","A_Cmpnlag","A_Rspctlag","A_Trustlag","C_Orglag","C_Prdctvlag","C_Rspnbllag","E_Assertlag","E_EnerLevlag","E_Scbltylag","N_Anxtylag","N_Deprlag","N_EmoVollag","O_AesSenslag","O_CrtvImaglag","O_IntCurlag","A_Cmpn","A_Rspct","A_Trust","C_Org","C_Prdctv","C_Rspnbl","E_Assert","E_EnerLev","E_Scblty","N_Anxty","N_Depr","N_EmoVol","O_AesSens","O_CrtvImag","O_IntCur"
"A_Cmpn",-0.0434,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.275,0,0.4703,0,0,0,0,-0.2556,0,0,0,0,-0.3045,0.3058,0,0
"A_Rspct",0,-0.0683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_Trust",0,0,0.0567,0,-0.2767,0,0.3468,0,0,0,0,0,0,0,0,0.3161,0,0,0,0,-0.2046,0,0,0,0,-0.4982,0,0,0,-0.229
"C_Org",0,0,0,0.0079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4055,0,0.2977,0,0
"C_Prdctv",0,0,0,0,0.062,0,0,0,0,0.2386,0,0,0,0,0,0,0,0,0,0,0,0.3881,0,0,0,0,0,0,0,0
"C_Rspnbl",0,0,0,0,0,-0.2284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2849,-0.2496,0,0,0
"E_Assert",0,0,0,0,0,0,-0.0151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.511,0,0,0,0,0,0,0
"E_EnerLev",0,0,0,0,0,0,0,-0.0747,0,0,0,0,0,0,0,0.4915,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E_Scblty",0,0,0,0,0,0,0,0,-0.0532,0,0,0,0,0,0,0.2907,0,0,0,0,0,0.3837,0,0,0,0,0,0,0,0
"N_Anxty",0,0,0,0,0,0.3174,0,0,0,0.0696,0,0,0,0,0,0,-0.3537,0,0,0,0,0,0,0,0,0,0,0,0,0
"N_Depr",0,0.2713,0,0,0,0,0,0,0,0,0.1738,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6444,0,0,0,0,-0.2074
"N_EmoVol",0,0,0,0,0,0,0,0,0,-0.3224,0,0.1833,-0.2177,0,0,0,0,0,0,0,0,0,0,0,0,0.563,0,0,0,0
"O_AesSens",0,0,0,0,0,0,0,0,0,0,0,0,-7e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O_CrtvImag",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0964,0,0,0,0,0,0.4777,0,0,0,0,0,0,0,0,0,0
"O_IntCur",0,0,0,0,0,0,0,0,-0.2274,0,0,0,0,0,0.0411,0,0,0,0,0,0,0,0,0,0,0,0,0,0.337,0
