"","A_Cmpnlag","A_Rspctlag","A_Trustlag","C_Orglag","C_Prdctvlag","C_Rspnbllag","E_Assertlag","E_EnerLevlag","E_Scbltylag","N_Anxtylag","N_Deprlag","N_EmoVollag","O_AesSenslag","O_CrtvImaglag","O_IntCurlag","A_Cmpn","A_Rspct","A_Trust","C_Org","C_Prdctv","C_Rspnbl","E_Assert","E_EnerLev","E_Scblty","N_Anxty","N_Depr","N_EmoVol","O_AesSens","O_CrtvImag","O_IntCur"
"A_Cmpnlag",0.9998,0.3494,0.365,0.3554,0.2317,0.1213,0.1427,0.1533,0.121,-0.3107,-0.1983,-0.1657,0.1458,0.2027,0.1688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_Rspctlag",0.3494,1,0.4355,0.0655,0.1975,0.0913,0.0889,-0.0159,-0.0633,0.0324,-0.1723,0.1636,-0.0035,-0.0131,0.0958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_Trustlag",0.365,0.4355,0.9923,0.2137,0.0189,0.2064,-0.0021,0.0813,-0.1318,-0.1317,-0.1347,-0.0292,0.219,-0.0667,0.1193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C_Orglag",0.3554,0.0655,0.2137,0.9998,0.351,0.2012,0.2111,0.3842,0.27,-0.2138,-0.0138,-0.2592,0.2232,0.3621,0.438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C_Prdctvlag",0.2317,0.1975,0.0189,0.351,0.9767,0.3617,0.1497,0.2522,0.323,-0.247,-0.2134,-0.3356,0.0604,0.4305,0.2312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C_Rspnbllag",0.1213,0.0913,0.2064,0.2012,0.3617,0.9999,0.0048,0.0533,0.1751,-0.1782,-0.0999,-0.2954,-0.1534,0.164,0.1781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E_Assertlag",0.1427,0.0889,-0.0021,0.2111,0.1497,0.0048,0.9913,0.414,0.1872,-0.1231,-0.1402,-0.0889,0.0317,0.4615,0.2907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E_EnerLevlag",0.1533,-0.0159,0.0813,0.3842,0.2522,0.0533,0.414,0.9813,0.3904,-0.2841,-0.2663,-0.3658,0.0711,0.466,0.2787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E_Scbltylag",0.121,-0.0633,-0.1318,0.27,0.323,0.1751,0.1872,0.3904,0.9985,-0.1426,-0.1833,-0.3834,0.0076,0.5207,0.2486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N_Anxtylag",-0.3107,0.0324,-0.1317,-0.2138,-0.247,-0.1782,-0.1231,-0.2841,-0.1426,0.9976,0.6805,0.5002,-0.0371,-0.2167,-0.0274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N_Deprlag",-0.1983,-0.1723,-0.1347,-0.0138,-0.2134,-0.0999,-0.1402,-0.2663,-0.1833,0.6805,0.9964,0.3824,0.1357,-0.2121,0.1545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N_EmoVollag",-0.1657,0.1636,-0.0292,-0.2592,-0.3356,-0.2954,-0.0889,-0.3658,-0.3834,0.5002,0.3824,0.9973,-0.1384,-0.3506,-0.2296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O_AesSenslag",0.1458,-0.0035,0.219,0.2232,0.0604,-0.1534,0.0317,0.0711,0.0076,-0.0371,0.1357,-0.1384,0.9824,0.1605,0.2931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O_CrtvImaglag",0.2027,-0.0131,-0.0667,0.3621,0.4305,0.164,0.4615,0.466,0.5207,-0.2167,-0.2121,-0.3506,0.1605,0.9936,0.374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O_IntCurlag",0.1688,0.0958,0.1193,0.438,0.2312,0.1781,0.2907,0.2787,0.2486,-0.0274,0.1545,-0.2296,0.2931,0.374,0.9989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_Cmpn",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7256,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_Rspct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7269,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_Trust",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8083,0,0,0,0,0,0,0,0,0,0,0,0
"C_Org",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.767,0,0,0,0,0,0,0,0,0,0,0
"C_Prdctv",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7979,0,0,0,0,0,0,0,0,0,0
"C_Rspnbl",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8509,0,0,0,0,0,0,0,0,0
