"","A_Cmpnlag","A_Rspctlag","A_Trustlag","C_Orglag","C_Prdctvlag","C_Rspnbllag","E_Assertlag","E_EnerLevlag","E_Scbltylag","N_Anxtylag","N_Deprlag","N_EmoVollag","O_AesSenslag","O_CrtvImaglag","O_IntCurlag","A_Cmpn","A_Rspct","A_Trust","C_Org","C_Prdctv","C_Rspnbl","E_Assert","E_EnerLev","E_Scblty","N_Anxty","N_Depr","N_EmoVol","O_AesSens","O_CrtvImag","O_IntCur"
"A_Cmpn",0.0225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4872,0,0,0,0,0,0,0,0,0,0,0,0
"A_Rspct",0,0.0478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5604,0,0,0,0,-0.3138,0,0,0
"A_Trust",0,0,0.0856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5894,0,0,-0.2721,0,0
"C_Org",0,0,0,0.2361,0,0,0,-0.3163,0,0,0,0,0.2265,0,0,0,0,0,0,0,0,0,0,0,0,-0.6058,0,0,0,0
"C_Prdctv",0,0,0,0,0.1337,0,0.2389,-0.3321,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.3783,0,0.3622,-0.3059,0,0,0.3657,0,0
"C_Rspnbl",0,-0.2912,0,0,0,-0.0095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E_Assert",0,0,0,0,0,0,-0.2274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3116,0
"E_EnerLev",0,0,0,0,0,0,0,-0.3353,0,0,0,0,0,0,0,0,0,0,0,0,0.4867,0,0,0,0,0,0,0,0,0
"E_Scblty",0,0,0,0,0,0,0,0,-0.2251,0,0,0,0,0,0,0,0,0,0,0,0,0.3881,0,0,-0.4434,0,0,0,0,0
"N_Anxty",0,0,0,0,0,0,0,0,0,0.1384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7407,0,-0.3364,0,0
"N_Depr",0,0,0,0,0,0,0,0,0,0,-0.2304,0,0,0,0,0,0,0,0,0,-0.4091,0,0,0,0,0,0,0,0,0
"N_EmoVol",0,0,0,0,0,0,0,0,0,0,0,-0.1235,0,0,0,0,0,0,0,0,-0.2638,0,0,0,0.5525,0,0,0,0,0
"O_AesSens",0,0,0,0,0,0,0,0,-0.4664,-0.3113,0,0,-0.1827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.3307
"O_CrtvImag",0,0,0.3046,0,0,0,0,0,0,0,0,0,0,0.1334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O_IntCur",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0936,0,-0.4815,0,0,0,0,0,0,0,0,-0.5742,0,0,0,0
