"","A_Cmpnlag","A_Rspctlag","A_Trustlag","C_Orglag","C_Prdctvlag","C_Rspnbllag","E_Assertlag","E_EnerLevlag","E_Scbltylag","N_Anxtylag","N_Deprlag","N_EmoVollag","O_AesSenslag","O_CrtvImaglag","O_IntCurlag","A_Cmpn","A_Rspct","A_Trust","C_Org","C_Prdctv","C_Rspnbl","E_Assert","E_EnerLev","E_Scblty","N_Anxty","N_Depr","N_EmoVol","O_AesSens","O_CrtvImag","O_IntCur"
"A_Cmpnlag",0.9861,0.1821,0.1341,-0.179,0.0097,-0.1747,-0.0026,0.0875,-0.1345,0.0663,-0.3122,-0.1406,0.1466,0.3627,0.3295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_Rspctlag",0.1821,0.9381,-0.1196,0.3275,0.0903,0.4121,0.171,0.5312,0.4841,-0.3343,-0.4032,-0.12,0.2608,0.2629,-0.0918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_Trustlag",0.1341,-0.1196,0.9987,-0.0571,-0.0337,-0.2276,0.0543,-0.0846,-0.1283,0.104,-0.1577,-0.2043,0.056,-0.0783,-0.0376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C_Orglag",-0.179,0.3275,-0.0571,0.993,0.0793,0.4693,-0.0132,0.2704,0.1396,-0.2989,-0.0942,-0.0375,0.0802,0.0831,0.0256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C_Prdctvlag",0.0097,0.0903,-0.0337,0.0793,0.9105,0.148,0.074,0.2735,0.2772,0.066,-0.0328,-0.2252,0.0275,-0.0021,-0.0391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C_Rspnbllag",-0.1747,0.4121,-0.2276,0.4693,0.148,0.9982,0.11,0.4134,0.5641,-0.6992,-0.2379,0.0645,-0.1114,0.2684,0.0173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E_Assertlag",-0.0026,0.171,0.0543,-0.0132,0.074,0.11,0.8339,-0.0391,0.1583,0.1194,-0.1846,0.0167,0.0979,0.1862,0.0345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E_EnerLevlag",0.0875,0.5312,-0.0846,0.2704,0.2735,0.4134,-0.0391,0.9966,0.5139,-0.4568,-0.2888,-0.0668,0.1753,0.3275,0.1232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E_Scbltylag",-0.1345,0.4841,-0.1283,0.1396,0.2772,0.5641,0.1583,0.5139,0.994,-0.3707,-0.3503,-0.0649,0.074,0.3048,-0.1633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N_Anxtylag",0.0663,-0.3343,0.104,-0.2989,0.066,-0.6992,0.1194,-0.4568,-0.3707,0.9994,0.2862,0.1356,0.0454,-0.3073,-0.1105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N_Deprlag",-0.3122,-0.4032,-0.1577,-0.0942,-0.0328,-0.2379,-0.1846,-0.2888,-0.3503,0.2862,0.9992,0.4169,-0.348,-0.3776,0.1489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N_EmoVollag",-0.1406,-0.12,-0.2043,-0.0375,-0.2252,0.0645,0.0167,-0.0668,-0.0649,0.1356,0.4169,0.8813,-0.2657,-0.0789,0.1907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O_AesSenslag",0.1466,0.2608,0.056,0.0802,0.0275,-0.1114,0.0979,0.1753,0.074,0.0454,-0.348,-0.2657,0.9811,0.2639,-0.2291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O_CrtvImaglag",0.3627,0.2629,-0.0783,0.0831,-0.0021,0.2684,0.1862,0.3275,0.3048,-0.3073,-0.3776,-0.0789,0.2639,0.99,0.2172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O_IntCurlag",0.3295,-0.0918,-0.0376,0.0256,-0.0391,0.0173,0.0345,0.1232,-0.1633,-0.1105,0.1489,0.1907,-0.2291,0.2172,0.957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_Cmpn",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7897,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_Rspct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6213,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_Trust",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4916,0,0,0,0,0,0,0,0,0,0,0,0
"C_Org",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5652,0,0,0,0,0,0,0,0,0,0,0
"C_Prdctv",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7088,0,0,0,0,0,0,0,0,0,0
"C_Rspnbl",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3009,0,0,0,0,0,0,0,0,0
"E_Assert",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9679,0,0,0,0,0,0,0,0
"E_EnerLev",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9425,0,0,0,0,0,0,0
"E_Scblty",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5606,0,0,0,0,0,0
"N_Anxty",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0
"N_Depr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5466,0,0,0,0
"N_EmoVol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6287,0,0,0
"O_AesSens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8398,0,0
"O_CrtvImag",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6071,0
"O_IntCur",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34
