"E_Scbltylag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","N_Deprlag","N_Anxtylag","N_EmoVollag","C_Prdctvlag","C_Rspnbllag","E_Scblty","E_EnerLev","A_Cmpn","A_Rspct","N_Depr","N_Anxty","N_EmoVol","C_Prdctv","C_Rspnbl"
45,1,2,1,1,0,1,1,1,0,17,2,2,4,2,1,4,1
2,45,1,4,3,1,6,5,2,11,0,5,3,10,4,1,6,2
3,3,45,1,0,1,2,2,3,5,8,0,5,6,0,4,2,2
6,2,3,45,3,0,2,2,1,2,5,7,0,5,3,5,1,0
3,2,1,0,45,3,0,1,3,7,8,1,6,0,11,9,2,1
2,1,3,0,1,45,3,1,2,2,3,3,4,15,0,9,3,2
4,0,2,3,2,2,45,2,6,1,3,1,1,20,8,0,1,4
3,0,2,2,3,3,3,45,1,3,4,1,4,5,3,4,0,16
0,2,3,3,2,2,6,2,45,2,6,1,4,4,5,7,12,0
