"","E_Scbltylag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","N_Deprlag","N_Anxtylag","N_EmoVollag","C_Prdctvlag","C_Rspnbllag","E_Scblty","E_EnerLev","A_Cmpn","A_Rspct","N_Depr","N_Anxty","N_EmoVol","C_Prdctv","C_Rspnbl"
"E_Scbltylag",0.9049,0.38,0.1506,0.1166,-0.2295,-0.2443,-0.1464,0.0435,-0.0606,0,0,0,0,0,0,0,0,0
"E_EnerLevlag",0.38,0.9686,0.0144,0.1914,-0.254,-0.0656,-0.1414,0.2358,-0.0405,0,0,0,0,0,0,0,0,0
"A_Cmpnlag",0.1506,0.0144,1,0.2348,-0.1703,-0.1081,-0.0168,0.195,0.5,0,0,0,0,0,0,0,0,0
"A_Rspctlag",0.1166,0.1914,0.2348,0.9995,-0.3353,-0.1842,-0.2123,0.139,0.0842,0,0,0,0,0,0,0,0,0
"N_Deprlag",-0.2295,-0.254,-0.1703,-0.3353,0.9995,0.4676,0.5329,-0.2842,-0.1137,0,0,0,0,0,0,0,0,0
"N_Anxtylag",-0.2443,-0.0656,-0.1081,-0.1842,0.4676,0.9897,0.4292,0.164,-0.0813,0,0,0,0,0,0,0,0,0
"N_EmoVollag",-0.1464,-0.1414,-0.0168,-0.2123,0.5329,0.4292,0.9978,-0.1665,0.0659,0,0,0,0,0,0,0,0,0
"C_Prdctvlag",0.0435,0.2358,0.195,0.139,-0.2842,0.164,-0.1665,0.9545,0.0993,0,0,0,0,0,0,0,0,0
"C_Rspnbllag",-0.0606,-0.0405,0.5,0.0842,-0.1137,-0.0813,0.0659,0.0993,0.9999,0,0,0,0,0,0,0,0,0
"E_Scblty",0,0,0,0,0,0,0,0,0,0.7625,0,0,0,0,0,0,0,0
"E_EnerLev",0,0,0,0,0,0,0,0,0,0,0.996,0,0,0,0,0,0,0
"A_Cmpn",0,0,0,0,0,0,0,0,0,0,0,0.9368,0,0,0,0,0,0
"A_Rspct",0,0,0,0,0,0,0,0,0,0,0,0,0.9293,0,0,0,0,0
"N_Depr",0,0,0,0,0,0,0,0,0,0,0,0,0,0.7845,0,0,0,0
"N_Anxty",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6936,0,0,0
"N_EmoVol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7055,0,0
"C_Prdctv",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9203,0
"C_Rspnbl",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6583
