"","E_Scbltylag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","N_Deprlag","N_Anxtylag","N_EmoVollag","C_Prdctvlag","C_Rspnbllag","E_Scblty","E_EnerLev","A_Cmpn","A_Rspct","N_Depr","N_Anxty","N_EmoVol","C_Prdctv","C_Rspnbl"
"E_Scbltylag",1,0.3339,0.2151,0.2601,0.0155,0.0645,-0.0568,0.1861,-0.1038,0,0,0,0,0,0,0,0,0
"E_EnerLevlag",0.3339,1,0.2622,0.1528,-0.1548,-0.1866,-0.1098,0.3569,0.0993,0,0,0,0,0,0,0,0,0
"A_Cmpnlag",0.2151,0.2622,1,0.3126,0.0053,0.067,-0.2205,-0.1198,0.2669,0,0,0,0,0,0,0,0,0
"A_Rspctlag",0.2601,0.1528,0.3126,1,-0.2711,-0.2067,0.0185,0.0338,0.1681,0,0,0,0,0,0,0,0,0
"N_Deprlag",0.0155,-0.1548,0.0053,-0.2711,1,0.3494,0.3427,-0.0589,-0.0083,0,0,0,0,0,0,0,0,0
"N_Anxtylag",0.0645,-0.1866,0.067,-0.2067,0.3494,1,0.1445,-0.1541,-0.1684,0,0,0,0,0,0,0,0,0
"N_EmoVollag",-0.0568,-0.1098,-0.2205,0.0185,0.3427,0.1445,1,-0.1753,-0.1266,0,0,0,0,0,0,0,0,0
"C_Prdctvlag",0.1861,0.3569,-0.1198,0.0338,-0.0589,-0.1541,-0.1753,1,0.3592,0,0,0,0,0,0,0,0,0
"C_Rspnbllag",-0.1038,0.0993,0.2669,0.1681,-0.0083,-0.1684,-0.1266,0.3592,1,0,0,0,0,0,0,0,0,0
"E_Scblty",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"E_EnerLev",0,0,0,0,0,0,0,0,0,0,0.7317,0,0,0,0,0,0,0
"A_Cmpn",0,0,0,0,0,0,0,0,0,0,0,0.9839,0,0,0,0,0,0
"A_Rspct",0,0,0,0,0,0,0,0,0,0,0,0,0.5634,0,0,0,0,0
"N_Depr",0,0,0,0,0,0,0,0,0,0,0,0,0,0.685,0,0,0,0
"N_Anxty",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8705,0,0,0
"N_EmoVol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7545,0,0
"C_Prdctv",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6927,0
"C_Rspnbl",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8765
