"","E_Scbltylag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","N_Deprlag","N_Anxtylag","N_EmoVollag","C_Prdctvlag","C_Rspnbllag","E_Scblty","E_EnerLev","A_Cmpn","A_Rspct","N_Depr","N_Anxty","N_EmoVol","C_Prdctv","C_Rspnbl"
"E_Scblty",0.1278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E_EnerLev",0,0.1071,0,0,0,0,0,0,0,0,0,0,0,0.107,0,0,0,0
"A_Cmpn",0,0,0.0971,0,0,0,0,0,0,0,0,0,0,0,0,0.0973,0,0
"A_Rspct",0,0,0,0.1024,0,0,0,0,0,0,0,0.1024,0,0,0,0,0,0
"N_Depr",0,0,0,0,0.0893,0,0,0,0,0,0,0,0,0,0.0911,0,0,0
"N_Anxty",0,0,0,0,0,0.1249,0,0,0,0,0,0,0,0,0,0,0,0
"N_EmoVol",0,0,0,0,0,0,0.1026,0,0,0,0,0,0,0.1023,0,0,0,0
"C_Prdctv",0,0,0,0,0,0,0,0.1259,0,0,0,0,0,0,0,0,0,0
"C_Rspnbl",0,0,0,0,0,0,0,0,0.098,0,0,0,0,0,0,0,0.0991,0
