"","E_Scbltylag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","N_Deprlag","N_Anxtylag","N_EmoVollag","C_Prdctvlag","C_Rspnbllag","E_Scblty","E_EnerLev","A_Cmpn","A_Rspct","N_Depr","N_Anxty","N_EmoVol","C_Prdctv","C_Rspnbl"
"E_Scbltylag",1,0.0341,0.221,-0.0486,-0.2705,-0.0537,-0.1171,0.0565,0.0861,0,0,0,0,0,0,0,0,0
"E_EnerLevlag",0.0341,1,-0.1153,-0.0402,-0.2418,-0.0196,-0.2117,0.2641,-0.0835,0,0,0,0,0,0,0,0,0
"A_Cmpnlag",0.221,-0.1153,1,0.1816,0.1216,-0.1625,-0.0204,-0.103,-0.0479,0,0,0,0,0,0,0,0,0
"A_Rspctlag",-0.0486,-0.0402,0.1816,1,-0.2122,-0.4955,-0.1273,0.2062,-0.0111,0,0,0,0,0,0,0,0,0
"N_Deprlag",-0.2705,-0.2418,0.1216,-0.2122,1,0.1588,0.1999,-0.0296,-0.3594,0,0,0,0,0,0,0,0,0
"N_Anxtylag",-0.0537,-0.0196,-0.1625,-0.4955,0.1588,1,0.0958,-0.0822,0.004,0,0,0,0,0,0,0,0,0
"N_EmoVollag",-0.1171,-0.2117,-0.0204,-0.1273,0.1999,0.0958,1,-0.0681,-0.0778,0,0,0,0,0,0,0,0,0
"C_Prdctvlag",0.0565,0.2641,-0.103,0.2062,-0.0296,-0.0822,-0.0681,1,0.027,0,0,0,0,0,0,0,0,0
"C_Rspnbllag",0.0861,-0.0835,-0.0479,-0.0111,-0.3594,0.004,-0.0778,0.027,1,0,0,0,0,0,0,0,0,0
"E_Scblty",0,0,0,0,0,0,0,0,0,0.725,0,0,0,0,0,0,0,0
"E_EnerLev",0,0,0,0,0,0,0,0,0,0,0.9733,0,0,0,0,0,0,0
"A_Cmpn",0,0,0,0,0,0,0,0,0,0,0,0.6756,0,0,0,0,0,0
"A_Rspct",0,0,0,0,0,0,0,0,0,0,0,0,0.8445,0,0,0,0,0
"N_Depr",0,0,0,0,0,0,0,0,0,0,0,0,0,0.7646,0,0,0,0
"N_Anxty",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6621,0,0,0
"N_EmoVol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8521,0,0
"C_Prdctv",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.604,0
"C_Rspnbl",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9903
