"","E_Scbltylag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","N_Deprlag","N_Anxtylag","N_EmoVollag","C_Prdctvlag","C_Rspnbllag","E_Scblty","E_EnerLev","A_Cmpn","A_Rspct","N_Depr","N_Anxty","N_EmoVol","C_Prdctv","C_Rspnbl"
"E_Scbltylag",0.999,0.5136,0.2215,-0.0058,-0.1733,-0.4779,-0.1185,0.1603,0.2605,0,0,0,0,0,0,0,0,0
"E_EnerLevlag",0.5136,0.9569,0.019,0.1378,-0.4861,-0.5722,-0.3665,0.4567,0.5695,0,0,0,0,0,0,0,0,0
"A_Cmpnlag",0.2215,0.019,0.9879,-0.0211,0.022,0.2382,0.0949,0.2866,0.2428,0,0,0,0,0,0,0,0,0
"A_Rspctlag",-0.0058,0.1378,-0.0211,0.9999,-0.0578,-0.0527,0.2019,0.3388,3e-04,0,0,0,0,0,0,0,0,0
"N_Deprlag",-0.1733,-0.4861,0.022,-0.0578,0.9979,0.4124,0.1364,-0.0655,-0.4169,0,0,0,0,0,0,0,0,0
"N_Anxtylag",-0.4779,-0.5722,0.2382,-0.0527,0.4124,0.9988,0.1535,-0.1197,-0.3747,0,0,0,0,0,0,0,0,0
"N_EmoVollag",-0.1185,-0.3665,0.0949,0.2019,0.1364,0.1535,0.9741,-0.1792,-0.1256,0,0,0,0,0,0,0,0,0
"C_Prdctvlag",0.1603,0.4567,0.2866,0.3388,-0.0655,-0.1197,-0.1792,1,0.4138,0,0,0,0,0,0,0,0,0
"C_Rspnbllag",0.2605,0.5695,0.2428,3e-04,-0.4169,-0.3747,-0.1256,0.4138,0.9719,0,0,0,0,0,0,0,0,0
"E_Scblty",0,0,0,0,0,0,0,0,0,0.3921,0,0,0,0,0,0,0,0
"E_EnerLev",0,0,0,0,0,0,0,0,0,0,1.7704,0,0,0,0,0,0,0
"A_Cmpn",0,0,0,0,0,0,0,0,0,0,0,0.6491,0,0,0,0,0,0
"A_Rspct",0,0,0,0,0,0,0,0,0,0,0,0,0.8598,0,0,0,0,0
"N_Depr",0,0,0,0,0,0,0,0,0,0,0,0,0,0.5268,0,0,0,0
"N_Anxty",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3761,0,0,0
"N_EmoVol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8495,0,0
"C_Prdctv",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7852,0
"C_Rspnbl",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5291
