"","E_Scbltylag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","N_Deprlag","N_Anxtylag","N_EmoVollag","C_Prdctvlag","C_Rspnbllag","E_Scblty","E_EnerLev","A_Cmpn","A_Rspct","N_Depr","N_Anxty","N_EmoVol","C_Prdctv","C_Rspnbl"
"E_Scbltylag",1,0.5883,0.3155,0.069,-0.4476,-0.3246,-0.3596,0.1271,0.2251,0,0,0,0,0,0,0,0,0
"E_EnerLevlag",0.5883,1,0.2327,0.118,-0.4078,-0.3134,-0.4247,0.1446,0.0108,0,0,0,0,0,0,0,0,0
"A_Cmpnlag",0.3155,0.2327,1,0.2202,-0.2163,-0.3473,-0.4136,0.317,0.005,0,0,0,0,0,0,0,0,0
"A_Rspctlag",0.069,0.118,0.2202,1,0.0117,0.0031,-0.2203,0.0446,0.1745,0,0,0,0,0,0,0,0,0
"N_Deprlag",-0.4476,-0.4078,-0.2163,0.0117,1,0.4182,0.4595,-0.1695,-0.1333,0,0,0,0,0,0,0,0,0
"N_Anxtylag",-0.3246,-0.3134,-0.3473,0.0031,0.4182,1,0.3555,-0.2591,0.0218,0,0,0,0,0,0,0,0,0
"N_EmoVollag",-0.3596,-0.4247,-0.4136,-0.2203,0.4595,0.3555,1,-0.2423,-0.2549,0,0,0,0,0,0,0,0,0
"C_Prdctvlag",0.1271,0.1446,0.317,0.0446,-0.1695,-0.2591,-0.2423,1,0.2582,0,0,0,0,0,0,0,0,0
"C_Rspnbllag",0.2251,0.0108,0.005,0.1745,-0.1333,0.0218,-0.2549,0.2582,1,0,0,0,0,0,0,0,0,0
"E_Scblty",0,0,0,0,0,0,0,0,0,0.7477,0,0,0,0,0,0,0,0
"E_EnerLev",0,0,0,0,0,0,0,0,0,0,0.6682,0,0,0,0,0,0,0
"A_Cmpn",0,0,0,0,0,0,0,0,0,0,0,0.8259,0,0,0,0,0,0
"A_Rspct",0,0,0,0,0,0,0,0,0,0,0,0,0.9888,0,0,0,0,0
"N_Depr",0,0,0,0,0,0,0,0,0,0,0,0,0,0.7824,0,0,0,0
"N_Anxty",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7873,0,0,0
"N_EmoVol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7138,0,0
"C_Prdctv",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8901,0
"C_Rspnbl",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9876
