"","E_Scbltylag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","N_Deprlag","N_Anxtylag","N_EmoVollag","C_Prdctvlag","C_Rspnbllag","E_Scblty","E_EnerLev","A_Cmpn","A_Rspct","N_Depr","N_Anxty","N_EmoVol","C_Prdctv","C_Rspnbl"
"E_Scbltylag",1,0.5808,0.1566,0.5062,-0.2269,-0.0922,-0.1813,0.3031,0.3407,0,0,0,0,0,0,0,0,0
"E_EnerLevlag",0.5808,1,0.2937,0.3216,-0.3329,-0.2415,-0.2614,0.4095,0.4552,0,0,0,0,0,0,0,0,0
"A_Cmpnlag",0.1566,0.2937,1,0.3052,-0.1914,-0.1952,-0.0646,0.4337,0.4162,0,0,0,0,0,0,0,0,0
"A_Rspctlag",0.5062,0.3216,0.3052,1,-0.1761,-0.0568,-0.2197,0.252,0.2574,0,0,0,0,0,0,0,0,0
"N_Deprlag",-0.2269,-0.3329,-0.1914,-0.1761,1,0.4238,0.5965,-0.287,-0.3432,0,0,0,0,0,0,0,0,0
"N_Anxtylag",-0.0922,-0.2415,-0.1952,-0.0568,0.4238,1,0.4798,-0.1328,-0.4328,0,0,0,0,0,0,0,0,0
"N_EmoVollag",-0.1813,-0.2614,-0.0646,-0.2197,0.5965,0.4798,1,-0.3723,-0.3433,0,0,0,0,0,0,0,0,0
"C_Prdctvlag",0.3031,0.4095,0.4337,0.252,-0.287,-0.1328,-0.3723,1,0.4339,0,0,0,0,0,0,0,0,0
"C_Rspnbllag",0.3407,0.4552,0.4162,0.2574,-0.3432,-0.4328,-0.3433,0.4339,1,0,0,0,0,0,0,0,0,0
"E_Scblty",0,0,0,0,0,0,0,0,0,0.9936,0,0,0,0,0,0,0,0
"E_EnerLev",0,0,0,0,0,0,0,0,0,0,0.6514,0,0,0,0,0,0,0
"A_Cmpn",0,0,0,0,0,0,0,0,0,0,0,0.8179,0,0,0,0,0,0
"A_Rspct",0,0,0,0,0,0,0,0,0,0,0,0,0.7061,0,0,0,0,0
"N_Depr",0,0,0,0,0,0,0,0,0,0,0,0,0,0.6623,0,0,0,0
"N_Anxty",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8706,0,0,0
"N_EmoVol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4882,0,0
"C_Prdctv",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7419,0
"C_Rspnbl",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6938
