"","cumsumT","A_Cmpnlag","A_Rspctlag","A_Trustlag","C_Orglag","C_Prdctvlag","C_Rspnbllag","E_Assertlag","E_EnerLevlag","E_Scbltylag","N_Anxtylag","N_Deprlag","N_EmoVollag","O_AesSenslag","O_CrtvImaglag","O_IntCurlag","A_Cmpn","A_Rspct","A_Trust","C_Org","C_Prdctv","C_Rspnbl","E_Assert","E_EnerLev","E_Scblty","N_Anxty","N_Depr","N_EmoVol","O_AesSens","O_CrtvImag","O_IntCur"
"cumsumT",1,-0.0477,-0.2959,-0.1232,0.257,0.2959,0.0138,0.2391,-0.0516,0.3048,-0.3196,0.0282,-0.2043,0.0115,-0.0186,0.1763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_Cmpnlag",-0.0477,1,0.1554,0.1003,-0.0462,-0.11,0.104,-0.2491,0.2106,0.2211,-0.2714,-0.4832,-0.2192,0.1764,0.126,0.1785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_Rspctlag",-0.2959,0.1554,1,0.2356,0.2245,0.14,0.2542,-0.0082,0.5043,0.1043,-0.2696,-0.187,-0.4088,0.1058,0.377,-0.205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_Trustlag",-0.1232,0.1003,0.2356,1,0.1158,0.0982,0.1666,0.0205,0.4011,0.0862,-0.2165,-0.4096,-0.2259,-0.0544,0.2068,0.0746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C_Orglag",0.257,-0.0462,0.2245,0.1158,1,0.1205,0.1326,0.2253,0.149,0.0044,-0.4913,-0.1047,-0.4402,0.0734,0.2284,-0.0287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C_Prdctvlag",0.2959,-0.11,0.14,0.0982,0.1205,1,0.2811,0.3203,0.2233,0.2342,-0.3485,-0.181,-0.2154,-0.178,0.2814,0.0335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C_Rspnbllag",0.0138,0.104,0.2542,0.1666,0.1326,0.2811,1,0.1178,0.5609,0.3471,-0.4573,-0.3452,-0.2304,0.2417,0.2773,0.1591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E_Assertlag",0.2391,-0.2491,-0.0082,0.0205,0.2253,0.3203,0.1178,1,-0.0727,0.0921,-0.1726,0.1811,-0.2792,-0.0208,0.0467,0.1965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E_EnerLevlag",-0.0516,0.2106,0.5043,0.4011,0.149,0.2233,0.5609,-0.0727,1,0.2139,-0.5697,-0.6245,-0.5454,0.0334,0.5033,-0.049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E_Scbltylag",0.3048,0.2211,0.1043,0.0862,0.0044,0.2342,0.3471,0.0921,0.2139,1,-0.5069,-0.3142,-0.1512,0.3835,0.2911,0.1053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
