"","A_Cmpnlag","A_Rspctlag","A_Trustlag","C_Orglag","C_Prdctvlag","C_Rspnbllag","E_Assertlag","E_EnerLevlag","E_Scbltylag","N_Anxtylag","N_Deprlag","N_EmoVollag","O_AesSenslag","O_CrtvImaglag","O_IntCurlag","A_Cmpn","A_Rspct","A_Trust","C_Org","C_Prdctv","C_Rspnbl","E_Assert","E_EnerLev","E_Scblty","N_Anxty","N_Depr","N_EmoVol","O_AesSens","O_CrtvImag","O_IntCur","cumsumT"
"A_Cmpn",-0.1383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8003,0,0,0,0,0,0,0,0,0,0.6495,0,0
"A_Rspct",0,-0.2226,0,0,0,0,0,0,0.3475,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5136,0,0,0,0,0,0,0,-0.36
"A_Trust",0,0,0.2989,0,0,0,0,0,0,0,0,0,-0.5388,0,0,0,0,0,0,0,0,0.6645,0,0,0,-1.3045,0.6168,0,0,0,0
"C_Org",0,0,0,-0.2633,0.5069,0,0,0,0,0,0,-0.6788,-0.9083,-0.492,0,-0.3948,0,-0.8349,0,0,0,0,0,0,0,0,-0.5996,0,0.9842,0,-0.2682
"C_Prdctv",0,0,-0.2857,-0.3054,-0.2693,0,0,0,0,-0.6791,0,0,0,0,0,0,0,0,0.2531,0,0,0,0,0,0,0,0,0,0.2644,0,0
"C_Rspnbl",0,0,0,0,0,-0.2423,0,0,0.2344,0,0,0,0,0,-0.2008,0,0,0,0,0,0,0,0.5797,0.2681,0,0,0,0,0,0,0
"E_Assert",0,0,0,0,0.3749,0,-0.1247,0,0,0,0,0,0,0,0,0,0,-0.2586,0,0.4236,0,0,0,0,0,0,0,0,0,0.3107,0
"E_EnerLev",-0.3468,0,0.2368,0,0,0,0,0.1679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4849,0,0
"E_Scblty",0,0,0,0,0,0.2911,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5732,0.3505,0,0
"N_Anxty",-0.1384,0,0.3233,0,0,0,-0.5656,-0.2669,0,-0.2609,0.317,0,0,0.1964,0,0.3502,0,0,0,0,0,0,-0.2179,0,0,0,0.6893,-0.4064,0,-0.2257,0
"N_Depr",0,0.2815,0.1933,0,0,0,0,0,0.9582,0,0.9333,0,0,0,0.4603,0,0,0.898,0,-0.4831,0.5,0,-1.4723,-0.6385,0,0,0,0,1.1395,-0.9095,0
"N_EmoVol",0,0,0,0,0,0,0,0,0,0,0,0.184,0,0,0,0,0,0,0,0,0,-0.2304,-0.7584,0,-0.378,0.1388,0,0,0,0,-0.3507
"O_AesSens",0,0,0,0,0,-0.4217,0.2787,0,0,0,0,0,0.1861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O_CrtvImag",0,-0.425,0,0,-0.3015,0,0.2993,0,-0.7595,0.4631,-0.5623,0,0.6038,0.323,-0.6397,-0.8186,0.4436,0,-0.5645,-0.1227,-0.3025,0,0,0,-0.8762,0,0,-0.1254,0,0.285,0.3986
"O_IntCur",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.3878,0,0,-0.4732,0,0,0,0,0,0,0,0.0742,0,0,0,0,0
"cumsumT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
