"","E_Scbltylag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","N_Deprlag","N_Anxtylag","N_EmoVollag","C_Prdctvlag","C_Rspnbllag","E_Scblty","E_EnerLev","A_Cmpn","A_Rspct","N_Depr","N_Anxty","N_EmoVol","C_Prdctv","C_Rspnbl","cumsumT"
"E_Scblty",-0.092,0,0,0,0,0,0,0,0,0,0,0.3254,0,-0.2717,0,0,0,0,0
"E_EnerLev",0,-0.3314,-0.2502,0,0,0,-0.2792,0,0,0.4184,0,0,0,0,0,0,0.2306,0,0
"A_Cmpn",0,0,-0.0078,0,0,0,0,0,0,0,0,0,0.3513,0,0,0,0,0,0
"A_Rspct",0,0,0,0.0505,0.3579,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N_Depr",0,0,0,0,0.3985,0,0,0,0,0,0,0,0,0,0,0.975,0,0,0
"N_Anxty",0,0,0,0,0,-0.1138,0,0,0,0,0,0,0,0,0,0,-0.3235,0,0
"N_EmoVol",0,0,0,-0.4713,0,0,-0.2243,0,0,0,0,0,0,-0.8517,0.4534,0,0,0,0
"C_Prdctv",0,0,0,0,0,0,0,0.1305,0,0,0,0,0,0,0,0,0,0,0
"C_Rspnbl",0,0,0,0,0,0,0,0,-0.2706,0,0,0,0,0,0,0,0.3386,0,0
"cumsumT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
