"","E_Scbltylag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","N_Deprlag","N_Anxtylag","N_EmoVollag","C_Prdctvlag","C_Rspnbllag","E_Scblty","E_EnerLev","A_Cmpn","A_Rspct","N_Depr","N_Anxty","N_EmoVol","C_Prdctv","C_Rspnbl","cumsumT"
"E_Scblty",-0.2037,0,0,0,0,0,0,0,0.2308,0,0.5463,0,0,0,-0.2698,0,0,0,0
"E_EnerLev",0,-0.0148,0,0,-0.4723,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_Cmpn",0,0,-0.0089,0,0,0,0,0,0,0,0,0,0,-0.3438,0,0,0,0,0
"A_Rspct",0,0,0,-0.035,0,0,-0.3466,0,0,0,0,0,0,0,0,0,0,0,0
"N_Depr",0,0,0,0,0.2697,0,0,0,0,-0.3264,0,0,0,0,0,0,0,0,0
"N_Anxty",0,0,0,0,0,0.0597,0,0,0,0,0,0,0,0,0,0,0,0,0
"N_EmoVol",0,0,0,0,0.3563,0,-0.0675,0,0,0,0,0,0,0,0,0,0,0,0
"C_Prdctv",0.2718,0,0,0,0,0,0,-0.1769,0,0,0,0,0,-0.2589,0,0,0,0.4371,0
"C_Rspnbl",0,0,0,0,0,0,-0.3355,0,0.2449,0,0,0,0,0,0,0,0,0,0
"cumsumT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
