"","E_Scbltylag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","N_Deprlag","N_Anxtylag","N_EmoVollag","C_Prdctvlag","C_Rspnbllag","E_Scblty","E_EnerLev","A_Cmpn","A_Rspct","N_Depr","N_Anxty","N_EmoVol","C_Prdctv","C_Rspnbl","cumsumT"
"E_Scblty",0.0919,0,0,0,0,0,0,0,0,0,0.0906,0,0,0,0,0,0,0,0
"E_EnerLev",0,0.1037,0,0,0,0.104,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_Cmpn",0,0.1014,0.1029,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1015,0,0
"A_Rspct",0,0.1016,0,0.0989,0,0,0,0.1021,0,0,0,0,0,0,0,0,0.0975,0,0
"N_Depr",0,0,0,0,0.1011,0,0,0,0,0.1015,0,0,0,0,0,0,0,0,0
"N_Anxty",0,0,0,0,0,0.0909,0,0,0,0,0,0,0,0.0901,0,0,0,0.0908,0
"N_EmoVol",0,0,0,0,0,0,0.1041,0,0,0,0,0,0,0,0,0,0,0,0.1057
"C_Prdctv",0,0,0,0,0,0.091,0,0.091,0,0,0,0,0,0,0,0,0,0.0909,0
"C_Rspnbl",0,0,0,0,0,0,0,0,0.1008,0,0.0987,0,0,0,0,0,0,0,0.1015
"cumsumT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
