"","E_Scbltylag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","N_Deprlag","N_Anxtylag","N_EmoVollag","C_Prdctvlag","C_Rspnbllag","E_Scblty","E_EnerLev","A_Cmpn","A_Rspct","N_Depr","N_Anxty","N_EmoVol","C_Prdctv","C_Rspnbl","cumsumT"
"E_Scblty",0.1766,0,-0.3421,0,0,0,-0.4213,0,0,0,0.6909,0,0,0,0,0,0.2152,0,0
"E_EnerLev",-0.377,0.3996,0,0,0,0,0,0,0.2865,0,0,0.4834,0,0,0,0,0,0,0
"A_Cmpn",0,0,-0.0496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4202
"A_Rspct",0,0,0,0.158,0,0,0,0.3801,0,0,0,0.4332,0,0,0,0,0,0,0
"N_Depr",0,-0.3502,0,0,0.1545,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N_Anxty",0,0,0,0,0,0.1491,0.267,0,0,0,0,0,0,0.4766,0,0,0,0,0
"N_EmoVol",0,0,0,0,0,0,0.0741,0,0,0,0,-0.2608,0,0.569,0,0,0,0,0
"C_Prdctv",0,0,0,0,0,0,0,-0.427,0,0,0,0,0,0,0,0,0,0.5171,0
"C_Rspnbl",0,0,0,0,0,0,0,0,-0.0633,0,0,0,0,0,0,0,0,0,0
"cumsumT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
