"","E_Scbltylag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","N_Deprlag","N_Anxtylag","N_EmoVollag","C_Prdctvlag","C_Rspnbllag","E_Scblty","E_EnerLev","A_Cmpn","A_Rspct","N_Depr","N_Anxty","N_EmoVol","C_Prdctv","C_Rspnbl","cumsumT"
"E_Scblty",-0.0907,0,0,0,0,0,0,0,0,0,0.6227,0,0,0,0,0,0,0,0
"E_EnerLev",0,0.1986,0,0,0,0,0,0,0,0,0,0,0,-0.4681,0,0,0,0,0
"A_Cmpn",0,0,-0.1131,0,0,0,0,0,0,0.4021,0,0,0.2994,0,0,0,0,0,0
"A_Rspct",0,0,0,0.1416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N_Depr",0,0,0,0,-0.0376,0,0,0,0,0,0,0,-0.342,0,0,0,0,0,0
"N_Anxty",0,0,0,0,0,0.1387,0,0,0,0,0,0,0,0.4208,0,0,0,0,0
"N_EmoVol",0,0,0,0,0,0,0.1012,0,0,0,0,0,0,0.5921,0,0,0,0,0
"C_Prdctv",0,0,0,0,0,0,0,-0.053,0,0,0.443,0,0,0,0,0,0,0,0
"C_Rspnbl",0,0,0,0,0,0,0,0,0.1026,0,0,0,0,0,0,0,0.418,0,0
"cumsumT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
