"","cumsumT","E_Scbltylag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","N_Deprlag","N_Anxtylag","N_EmoVollag","C_Prdctvlag","C_Rspnbllag","E_Scblty","E_EnerLev","A_Cmpn","A_Rspct","N_Depr","N_Anxty","N_EmoVol","C_Prdctv","C_Rspnbl"
"cumsumT",1,-0.0444,0.0957,-0.0032,-0.2025,-0.0485,-0.0355,0.0406,-0.093,-0.12,0,0,0,0,0,0,0,0,0
"E_Scbltylag",-0.0444,1,0.2627,0.3023,0.175,-0.3244,-0.3203,-0.3425,0.3019,0.2793,0,0,0,0,0,0,0,0,0
"E_EnerLevlag",0.0957,0.2627,1,0.1025,0.1135,-0.2285,-0.2507,-0.2977,0.3031,0.3767,0,0,0,0,0,0,0,0,0
"A_Cmpnlag",-0.0032,0.3023,0.1025,1,0.0643,-0.0567,0.1151,-0.0769,-0.1348,-0.0262,0,0,0,0,0,0,0,0,0
"A_Rspctlag",-0.2025,0.175,0.1135,0.0643,1,-0.3859,-0.2306,-0.388,0.2554,0.2694,0,0,0,0,0,0,0,0,0
"N_Deprlag",-0.0485,-0.3244,-0.2285,-0.0567,-0.3859,1,0.4594,0.3308,-0.3338,-0.3902,0,0,0,0,0,0,0,0,0
"N_Anxtylag",-0.0355,-0.3203,-0.2507,0.1151,-0.2306,0.4594,1,0.3922,-0.3077,-0.3449,0,0,0,0,0,0,0,0,0
"N_EmoVollag",0.0406,-0.3425,-0.2977,-0.0769,-0.388,0.3308,0.3922,1,-0.3627,-0.371,0,0,0,0,0,0,0,0,0
"C_Prdctvlag",-0.093,0.3019,0.3031,-0.1348,0.2554,-0.3338,-0.3077,-0.3627,1,0.3013,0,0,0,0,0,0,0,0,0
"C_Rspnbllag",-0.12,0.2793,0.3767,-0.0262,0.2694,-0.3902,-0.3449,-0.371,0.3013,1,0,0,0,0,0,0,0,0,0
"E_Scblty",0,0,0,0,0,0,0,0,0,0,0.8316,0,0,0,0,0,0,0,0
"E_EnerLev",0,0,0,0,0,0,0,0,0,0,0,0.8737,0,0,0,0,0,0,0
"A_Cmpn",0,0,0,0,0,0,0,0,0,0,0,0,0.6753,0,0,0,0,0,0
"A_Rspct",0,0,0,0,0,0,0,0,0,0,0,0,0,0.6457,0,0,0,0,0
"N_Depr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8144,0,0,0,0
"N_Anxty",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7463,0,0,0
"N_EmoVol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8977,0,0
"C_Prdctv",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8689,0
"C_Rspnbl",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8388
