"","cumsumT","E_Scbltylag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","N_Deprlag","N_Anxtylag","N_EmoVollag","C_Prdctvlag","C_Rspnbllag","E_Scblty","E_EnerLev","A_Cmpn","A_Rspct","N_Depr","N_Anxty","N_EmoVol","C_Prdctv","C_Rspnbl"
"cumsumT",1,0.0098,0.0209,-0.3957,-0.0066,-0.0169,0.2257,0.2163,0.0293,0.1107,0,0,0,0,0,0,0,0,0
"E_Scbltylag",0.0098,1,0.6421,0.2806,0.0754,-0.3372,-0.3569,-0.2672,0.2188,0.1869,0,0,0,0,0,0,0,0,0
"E_EnerLevlag",0.0209,0.6421,1,0.4664,0.1171,-0.3401,-0.1401,-0.2281,0.0726,0.2039,0,0,0,0,0,0,0,0,0
"A_Cmpnlag",-0.3957,0.2806,0.4664,1,0.4864,-0.0882,-0.0276,-0.3477,-0.005,0.1553,0,0,0,0,0,0,0,0,0
"A_Rspctlag",-0.0066,0.0754,0.1171,0.4864,1,-0.2081,-0.0372,-0.225,-0.1018,0.1177,0,0,0,0,0,0,0,0,0
"N_Deprlag",-0.0169,-0.3372,-0.3401,-0.0882,-0.2081,1,0.4402,0.5717,-0.0282,-0.2248,0,0,0,0,0,0,0,0,0
"N_Anxtylag",0.2257,-0.3569,-0.1401,-0.0276,-0.0372,0.4402,1,0.2626,-0.0687,-0.0336,0,0,0,0,0,0,0,0,0
"N_EmoVollag",0.2163,-0.2672,-0.2281,-0.3477,-0.225,0.5717,0.2626,1,-0.0475,-0.2705,0,0,0,0,0,0,0,0,0
"C_Prdctvlag",0.0293,0.2188,0.0726,-0.005,-0.1018,-0.0282,-0.0687,-0.0475,1,0.4823,0,0,0,0,0,0,0,0,0
"C_Rspnbllag",0.1107,0.1869,0.2039,0.1553,0.1177,-0.2248,-0.0336,-0.2705,0.4823,1,0,0,0,0,0,0,0,0,0
"E_Scblty",0,0,0,0,0,0,0,0,0,0,0.3141,0,0,0,0,0,0,0,0
"E_EnerLev",0,0,0,0,0,0,0,0,0,0,0,0.5903,0,0,0,0,0,0,0
"A_Cmpn",0,0,0,0,0,0,0,0,0,0,0,0,0.8375,0,0,0,0,0,0
"A_Rspct",0,0,0,0,0,0,0,0,0,0,0,0,0,0.662,0,0,0,0,0
"N_Depr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8167,0,0,0,0
"N_Anxty",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.599,0,0,0
"N_EmoVol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5895,0,0
"C_Prdctv",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5368,0
"C_Rspnbl",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.996
