"","E_Scbltylag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","N_Deprlag","N_Anxtylag","N_EmoVollag","C_Prdctvlag","C_Rspnbllag","E_Scblty","E_EnerLev","A_Cmpn","A_Rspct","N_Depr","N_Anxty","N_EmoVol","C_Prdctv","C_Rspnbl","cumsumT"
"E_Scblty",0.2263,0,0,0,0,0,0,0,-0.3218,0,0.391,0,0,0,0,0,0,0,0
"E_EnerLev",0,0.0163,0,0.223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_Cmpn",0,0,-0.1714,0,0,0,0,0,0,0,0,0,0,-0.2763,0,0,0,0,0.3396
"A_Rspct",0,0,0,0.098,0,0,0,0,0,0,0,0,0,0,0,0,0.3862,0,0
"N_Depr",0,-0.2702,0,0,0.1351,0,0,0,0,0,-0.2726,0,0,0,0,0,0,0,0
"N_Anxty",0,0,0,0,0,-0.0253,0,0,0,0,0,0,0,0.2736,0,0,0,0,0
"N_EmoVol",0,0,0,0,0,0,-0.0012,0,0,0,0,0,0,0.3815,0,0,0,0,-0.2156
"C_Prdctv",0,0,0,0,0,0,0,0.0884,0,0,0,0,0,0,0,0,0,0.5089,0
"C_Rspnbl",0,0,0,0,0,0,0,0,-0.0602,0,0,0,0,0,0,0,0,0,0
"cumsumT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
