"","cumsumT","E_Scbltylag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","N_Deprlag","N_Anxtylag","N_EmoVollag","C_Prdctvlag","C_Rspnbllag","E_Scblty","E_EnerLev","A_Cmpn","A_Rspct","N_Depr","N_Anxty","N_EmoVol","C_Prdctv","C_Rspnbl"
"cumsumT",0.9731,0.0052,-0.1239,0.0994,-0.0552,-0.0513,-0.222,-0.1539,0.0118,-0.0582,0,0,0,0,0,0,0,0,0
"E_Scbltylag",0.0052,0.9996,0.2786,0.0319,-0.0292,0.0068,-0.1632,0.0485,0.1252,0.1439,0,0,0,0,0,0,0,0,0
"E_EnerLevlag",-0.1239,0.2786,0.999,0.1602,0.116,-0.1812,0.0256,0.0318,0.0462,0.0089,0,0,0,0,0,0,0,0,0
"A_Cmpnlag",0.0994,0.0319,0.1602,0.9996,0.013,-0.1209,-0.0431,0.2051,-0.048,0.0137,0,0,0,0,0,0,0,0,0
"A_Rspctlag",-0.0552,-0.0292,0.116,0.013,0.9998,0.0533,-0.0437,-0.0612,0.0454,0.2587,0,0,0,0,0,0,0,0,0
"N_Deprlag",-0.0513,0.0068,-0.1812,-0.1209,0.0533,0.9898,-0.0129,0.1276,0.0304,-0.0796,0,0,0,0,0,0,0,0,0
"N_Anxtylag",-0.222,-0.1632,0.0256,-0.0431,-0.0437,-0.0129,0.999,0.2038,-0.2345,0.0158,0,0,0,0,0,0,0,0,0
"N_EmoVollag",-0.1539,0.0485,0.0318,0.2051,-0.0612,0.1276,0.2038,0.9915,-0.0659,-0.0289,0,0,0,0,0,0,0,0,0
"C_Prdctvlag",0.0118,0.1252,0.0462,-0.048,0.0454,0.0304,-0.2345,-0.0659,0.9985,0.1245,0,0,0,0,0,0,0,0,0
"C_Rspnbllag",-0.0582,0.1439,0.0089,0.0137,0.2587,-0.0796,0.0158,-0.0289,0.1245,0.9991,0,0,0,0,0,0,0,0,0
"E_Scblty",0,0,0,0,0,0,0,0,0,0,0.9089,0,0,0,0,0,0,0,0
"E_EnerLev",0,0,0,0,0,0,0,0,0,0,0,0.8971,0,0,0,0,0,0,0
"A_Cmpn",0,0,0,0,0,0,0,0,0,0,0,0,0.9709,0,0,0,0,0,0
"A_Rspct",0,0,0,0,0,0,0,0,0,0,0,0,0,0.9828,0,0,0,0,0
"N_Depr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9829,0,0,0,0
"N_Anxty",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9002,0,0,0
"N_EmoVol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9923,0,0
"C_Prdctv",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9954,0
"C_Rspnbl",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9295
