"","E_Scbltylag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","N_Deprlag","N_Anxtylag","N_EmoVollag","C_Prdctvlag","C_Rspnbllag","E_Scblty","E_EnerLev","A_Cmpn","A_Rspct","N_Depr","N_Anxty","N_EmoVol","C_Prdctv","C_Rspnbl","cumsumT"
"E_Scblty",0.1314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E_EnerLev",0.1218,0.1214,0,0,0,0,0,0,0,0.1142,0,0,0,0,0,0,0,0,0.1203
"A_Cmpn",0,0,0.1299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_Rspct",0,0,0,0.1223,0,0,0,0,0,0,0,0,0,0,0,0.1158,0,0,0.1249
"N_Depr",0,0,0,0,0.1118,0,0,0,0,0,0,0,0,0,0.1158,0,0,0,0
"N_Anxty",0,0,0,0,0,0.1204,0,0,0,0,0,0,0,0,0,0,0,0,0.1217
"N_EmoVol",0,0,0,0,0,0,0.1067,0,0,0.1089,0,0,0,0.1078,0,0,0,0,0
"C_Prdctv",0,0,0,0,0,0,0,0.3527,0,0,0.3793,0,0,0,0,0,0,0.9973,0
"C_Rspnbl",0,0,0.1671,0,0,0,0,0,0.1514,0,0,0.1489,0,0,0,0,0.3446,0,0
"cumsumT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
