"file","lhs","op","rhs","beta","se","z","pval","level"
"01","E_Scblty","~","E_Scbltylag",0.0255674979375511,0.125905731335418,0.203068578899226,0.839081430442269,"group"
"01","E_EnerLev","~","E_EnerLevlag",-0.0981494381469883,0.124774479255604,-0.786614688616945,0.431507458043117,"group"
"01","A_Cmpn","~","A_Cmpnlag",-0.0600404605211581,0.117738271604047,-0.50994854691832,0.610087509461267,"group"
"01","A_Rspct","~","A_Rspctlag",0.104701290427852,0.124606865642631,0.840252981951516,0.400766557743873,"group"
"01","N_Depr","~","N_Deprlag",-0.0885523438625534,0.125000212943163,-0.708417544079047,0.478686000718042,"group"
"01","N_Anxty","~","N_Anxtylag",0.225503465881657,0.107599303347049,2.0957706868633,0.0361025378626607,"group"
"01","N_EmoVol","~","N_EmoVollag",0.182523949343395,0.107089351005636,1.70440802590903,0.0883048855478328,"group"
"01","C_Prdctv","~","C_Prdctvlag",-0.150559558023012,0.123132340343295,-1.22274584892359,0.221425703998998,"group"
"01","C_Rspnbl","~","C_Rspnbllag",-0.0892810857033537,0.124983793315216,-0.714341302461369,0.475016158412725,"group"
"01","N_EmoVol","~","N_Anxty",0.465532810304142,0.0952588423622793,4.8870298941244,1.02368555143784e-06,"ind"
"01","N_Anxty","~","N_Depr",0.443926586261495,0.0988810778350459,4.48949987177583,7.13905903881873e-06,"ind"
"01","A_Cmpn","~","N_EmoVol",-0.351479099664359,0.109906256469225,-3.19798991391156,0.0013838912054942,"ind"
"01","N_EmoVol","~","N_Deprlag",-0.321681086221091,0.105972065222862,-3.03552719808365,0.00240115565937793,"ind"
"02","E_Scblty","~","E_Scbltylag",-0.142893416790367,0.111453904393869,-1.28208533893432,0.199812711395293,"group"
"02","E_EnerLev","~","E_EnerLevlag",0.0097277127442412,0.116238365281922,0.0836876251713262,0.933304796311145,"group"
"02","A_Cmpn","~","A_Cmpnlag",-0.250845754805849,0.110293957157261,-2.27433815297952,0.0229456628872782,"group"
"02","A_Rspct","~","A_Rspctlag",0.0317327428847723,0.126872305894596,0.250115599783735,0.802497952424772,"group"
"02","N_Depr","~","N_Deprlag",0.29909944541773,0.0883005306717857,3.38728933045133,0.000705869045848129,"group"
"02","N_Anxty","~","N_Anxtylag",0.177908806621126,0.0988776709597922,1.7992819298249,0.0719740950312533,"group"
"02","N_EmoVol","~","N_EmoVollag",0.0136665316322325,0.0899186409243509,0.151987746831385,0.879196599984969,"group"
"02","C_Prdctv","~","C_Prdctvlag",0.232453748536291,0.114906126028528,2.02298829984556,0.0430743538181819,"group"
"02","C_Rspnbl","~","C_Rspnbllag",-0.254372170462141,0.118624676298609,-2.14434448547467,0.0320052948561966,"group"
"02","N_EmoVol","~","N_Anxty",0.705785609800724,0.0634390773702835,11.1254078567563,0,"ind"
"02","N_Anxty","~","A_Cmpn",-0.55552740297038,0.0846944091144274,-6.55919804836029,5.409783732091e-11,"ind"
"02","N_Depr","~","N_EmoVol",0.430942583269897,0.112707989412622,3.82353181452138,0.000131553608121227,"ind"
"02","N_Depr","~","E_EnerLev",-0.564995155022916,0.09859210595038,-5.73063278826066,1.00056662954984e-08,"ind"
"02","E_Scblty","~","N_Anxty",-0.457074804067118,0.10039662129191,-4.55269109841997,5.29640131929909e-06,"ind"
"02","C_Rspnbl","~","N_Depr",-0.703784978920346,0.112394021291486,-6.26176526859137,3.80643516706414e-10,"ind"
"02","E_EnerLev","~","A_Rspct",0.405346383579879,0.106224605863272,3.81593680942081,0.000135667223479796,"ind"
"02","A_Cmpn","~","A_Rspct",0.383033145160633,0.105256955503776,3.6390293005092,0.000273667663792443,"ind"
"02","N_Anxty","~","E_EnerLevlag",-0.32084107715657,0.0955143871957578,-3.35908638034815,0.000782006192909579,"ind"
"02","C_Prdctv","~","N_Depr",-0.359372764351703,0.113788191996186,-3.15826060724955,0.00158713604380822,"ind"
"02","N_Depr","~","C_Rspnbl",0.300569844055194,0.128356560759205,2.34167885363536,0.0191972254761936,"ind"
