"E_Scbltylag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","N_Deprlag","N_Anxtylag","N_EmoVollag","C_Prdctvlag","C_Rspnbllag","E_Scblty","E_EnerLev","A_Cmpn","A_Rspct","N_Depr","N_Anxty","N_EmoVol","C_Prdctv","C_Rspnbl"
45,0,1,0,1,0,1,2,3,0,9,3,4,4,4,4,6,3
1,45,1,4,2,1,2,1,2,16,0,8,1,6,7,3,2,4
0,0,45,0,1,3,0,3,3,8,5,0,4,5,3,4,3,3
1,4,1,45,5,1,2,2,1,2,6,11,0,2,2,2,3,3
3,0,4,2,45,3,2,1,1,4,9,4,3,0,15,8,3,6
1,1,1,0,2,45,4,0,3,1,1,3,3,10,0,9,2,3
2,1,0,2,4,5,45,1,1,5,6,2,5,18,7,0,0,4
4,3,1,1,1,0,3,45,0,3,3,3,2,5,4,6,0,17
2,2,3,3,1,3,3,1,45,1,4,1,3,5,3,2,13,0
