"","A_Cmpnlag","A_Rspctlag","A_Trustlag","C_Orglag","C_Prdctvlag","C_Rspnbllag","E_Assertlag","E_EnerLevlag","E_Scbltylag","N_Anxtylag","N_Deprlag","N_EmoVollag","O_AesSenslag","O_CrtvImaglag","O_IntCurlag","A_Cmpn","A_Rspct","A_Trust","C_Org","C_Prdctv","C_Rspnbl","E_Assert","E_EnerLev","E_Scblty","N_Anxty","N_Depr","N_EmoVol","O_AesSens","O_CrtvImag","O_IntCur"
"A_Cmpnlag",1,0.3096,0.1756,0.2347,0.0806,0.1687,0.1634,0.3481,0.3465,-0.3283,-0.1852,-0.1995,0.088,0.0253,0.2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_Rspctlag",0.3096,1,-0.1974,-0.0683,-0.0399,0.0163,0.1257,0.0421,0.0794,-0.0654,-0.1481,-0.0352,-0.1641,-0.1489,-0.0685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_Trustlag",0.1756,-0.1974,1,0.1976,-0.1971,-0.1566,-0.0421,0.1613,-0.0782,-0.103,-0.1842,-0.164,0.1353,0.1412,0.0537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C_Orglag",0.2347,-0.0683,0.1976,1,0.3792,0.4487,0.1156,0.2651,0.1356,-0.077,-0.2243,-0.1517,-0.2102,0.1842,0.1733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C_Prdctvlag",0.0806,-0.0399,-0.1971,0.3792,1,0.4311,0.3527,0.3774,0.4423,-0.1202,-0.3314,-0.1183,-0.0437,0.0729,0.3017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C_Rspnbllag",0.1687,0.0163,-0.1566,0.4487,0.4311,1,0.1977,0.1568,0.1012,-0.0751,-0.138,-0.1105,-0.1552,0.1722,0.0508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E_Assertlag",0.1634,0.1257,-0.0421,0.1156,0.3527,0.1977,1,0.1921,0.4295,-0.1527,-0.2994,0.0549,0.1261,-0.0011,0.0941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E_EnerLevlag",0.3481,0.0421,0.1613,0.2651,0.3774,0.1568,0.1921,1,0.5695,-0.2508,-0.2125,-0.101,-0.1084,0.187,0.3211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E_Scbltylag",0.3465,0.0794,-0.0782,0.1356,0.4423,0.1012,0.4295,0.5695,1,-0.2285,-0.3575,0.0845,0.1287,0.1575,0.3023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N_Anxtylag",-0.3283,-0.0654,-0.103,-0.077,-0.1202,-0.0751,-0.1527,-0.2508,-0.2285,1,0.4984,0.5828,-0.1571,-0.0517,-0.088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
