"","A_Cmpnlag","A_Rspctlag","A_Trustlag","C_Orglag","C_Prdctvlag","C_Rspnbllag","E_Assertlag","E_EnerLevlag","E_Scbltylag","N_Anxtylag","N_Deprlag","N_EmoVollag","O_AesSenslag","O_CrtvImaglag","O_IntCurlag","A_Cmpn","A_Rspct","A_Trust","C_Org","C_Prdctv","C_Rspnbl","E_Assert","E_EnerLev","E_Scblty","N_Anxty","N_Depr","N_EmoVol","O_AesSens","O_CrtvImag","O_IntCur"
"A_Cmpn",-0.1634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_Rspct",0,0.189,0,0,0.2297,0,0,0,0.369,0,0,0,0,0,0,0.5064,0,0,0,0,0,0,0.2189,0,0,0,0,0,0,0
"A_Trust",0,0,0.1685,0,0,0.4419,0,0,0,0,0.333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.3065,0,-0.2768,0
"C_Org",0,0,0,-0.4411,0,0,0,0,0,-0.273,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3649,0,0,0,0,0,0
"C_Prdctv",0,0,0,0,0.3,-0.2284,0,0,0,-0.3492,0,0,0,-0.3555,0,0,0,0,0,0,0,0,0.3652,0,0,0,0,0,0.2823,0
"C_Rspnbl",0,0,-0.2181,0,0,-0.1086,0,0,0,0,0,0,0,0,0.3968,0,0,0,0,0,0,0,0,0,0,-0.5061,0,0,0,0
"E_Assert",0,0,0,0,0,0,-0.0438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E_EnerLev",0.2695,-0.4941,0,0,0,0,0,-0.0411,0,0,0,0,0,0.2412,0,0,0,0,0,0,0,0.2762,0,0,0,0,0,0,0,0
"E_Scblty",0,0,0,0,0,0,0,0,0.1967,0.2743,0,0,0,0,0,0,0,0,0,0,0,0,0.597,0,0,0,0,0,0,0
"N_Anxty",0,0.3321,0,0,0,0,0,0,0,-0.0393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N_Depr",0,0,0,0,0,0,0.2946,-0.3527,0,0,0.166,0,0,0,0,-0.3163,0,0,0,0,0,0,0,0,0.461,0,0,0,0,0
"N_EmoVol",0,0,0,0,0,0,0,0,-0.2351,0,0,-0.0622,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3856,0,0,0,0
"O_AesSens",0,0,0,0,0,0,0,0,0.3082,0,0,0,0.1926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O_CrtvImag",0,0,0,0.3738,0,0,0,0,0,0,0,0,0,0.3552,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2423,0,0
"O_IntCur",0,0,0,0,0,0,0,0,0,0,0,0.2738,0,0,-0.0353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
