"","A_Cmpnlag","A_Rspctlag","A_Trustlag","C_Orglag","C_Prdctvlag","C_Rspnbllag","E_Assertlag","E_EnerLevlag","E_Scbltylag","N_Anxtylag","N_Deprlag","N_EmoVollag","O_AesSenslag","O_CrtvImaglag","O_IntCurlag","A_Cmpn","A_Rspct","A_Trust","C_Org","C_Prdctv","C_Rspnbl","E_Assert","E_EnerLev","E_Scblty","N_Anxty","N_Depr","N_EmoVol","O_AesSens","O_CrtvImag","O_IntCur"
"A_Cmpn",-0.1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0884,0,0,0,0
"A_Rspct",0,0.1709,0,0,0.5866,0,0,0,0,0,0,0,-0.3182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_Trust",0,0,0.1883,0.338,0,0,0,0,0,0,0,0,0,0,0,0.3954,0.2708,0,0.2232,0,-0.5114,-0.2974,0,0,0,-0.2745,0,0,0,0
"C_Org",0,0.8234,-0.5584,0.0457,0,0,-0.3896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3305,0,0,0,0,0,0,0
"C_Prdctv",0.2142,0.1571,0,0,-0.2701,-0.2578,0,0,0.1816,0,0.1418,0.2298,0,0,0,0,0,0.1472,0.1387,0,0.5455,-0.2886,0,0.2781,0,0,0,0.1309,0,0.2224
"C_Rspnbl",0,0,0,0,0,0.1695,0,0,0,0,0,0,-0.2819,0,0,0,0,0,0,0,0,0,0.5059,0,0,0,0,0,0,0
"E_Assert",0,0,0,0,0,0,-0.1653,0,0,0,0,0,0,0,0.3901,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2787,0
"E_EnerLev",-0.2575,0,0,0,-0.2129,0,0.4775,-0.0393,0,0,0,-0.4107,0,0,-0.4959,0,0,0.3535,0,0,0,0,0,1.1786,0,0,0,0,0,0
"E_Scblty",0,0,0,0,0,0,0,0,0.9757,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.5564,0,0,0,0,0,0,0
"N_Anxty",0,0,0,-0.3531,0,0,0,0,0,0.0473,0,0.2877,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4511,0,0,0,0
"N_Depr",0,0,0,0,0,-0.8776,0,0,0,-1.1742,0.3193,0,0,0,0,1.0902,0,0,0,-0.6855,0,-0.361,0,-0.3285,0,0,0,0,0,0
"N_EmoVol",0,-0.3726,0.3938,-0.1825,0,0,0,0.3853,-0.4577,0,-0.6764,0.1334,-0.2335,-0.2231,0,0,0,0,0.5216,0.2013,-0.5697,0,0,0,0,0.498,0,0,0.3299,-0.2509
"O_AesSens",0.1929,0,0,0,-0.3092,0.4501,0,-0.3729,0.3975,0,0,0,-0.3975,-0.5698,0,0,0,0,0,0,-0.215,0.2835,0,0,-0.3196,0,0,0,0,0
"O_CrtvImag",-0.3033,0.5235,-0.3478,0,0,0,0,0.2519,-0.3447,0.2218,-0.8189,0,0,-0.361,0,0,0.189,0,0,0,0,0,0.5214,0,0,-0.5399,0,0,0,-0.2862
"O_IntCur",0,0.3001,0,0,0,0,0,0,0,0,0,0,0,0,0.1486,0,0,0,0,0,0,0,0,0,0,0,0,0.3087,0.4468,0
