"","A_Cmpnlag","A_Rspctlag","A_Trustlag","C_Orglag","C_Prdctvlag","C_Rspnbllag","E_Assertlag","E_EnerLevlag","E_Scbltylag","N_Anxtylag","N_Deprlag","N_EmoVollag","O_AesSenslag","O_CrtvImaglag","O_IntCurlag","A_Cmpn","A_Rspct","A_Trust","C_Org","C_Prdctv","C_Rspnbl","E_Assert","E_EnerLev","E_Scblty","N_Anxty","N_Depr","N_EmoVol","O_AesSens","O_CrtvImag","O_IntCur"
"A_Cmpnlag",1,0.2348,0.1516,0.4294,0.195,0.5,0.3048,0.0144,0.1507,-0.1081,-0.1703,-0.0168,-0.1245,0.0868,0.3369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_Rspctlag",0.2348,0.9995,0.1452,-0.0263,0.139,0.0842,0.5182,0.1914,0.1166,-0.1842,-0.3353,-0.2123,0.1323,0.1927,0.1321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_Trustlag",0.1516,0.1452,0.931,0.3219,0.0824,0.2261,0.2135,0.217,-0.0458,-0.2602,-0.4468,-0.2749,0.0837,0.0901,0.172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C_Orglag",0.4294,-0.0263,0.3219,0.9769,0.2524,0.3227,0.2278,-0.0251,-0.1429,-0.0243,-0.116,0.0982,-0.0731,0.0273,0.1039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C_Prdctvlag",0.195,0.139,0.0824,0.2524,0.9545,0.0993,0.2357,0.2358,0.0435,0.164,-0.2842,-0.1665,-0.064,-0.1103,0.3377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C_Rspnbllag",0.5,0.0842,0.2261,0.3227,0.0993,0.9999,0.2881,-0.0405,-0.0606,-0.0813,-0.1137,0.0659,-0.2661,0.2172,-0.0104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E_Assertlag",0.3048,0.5182,0.2135,0.2278,0.2357,0.2881,0.9983,0.114,0.0553,-0.2674,-0.4767,-0.304,0.0783,0.1296,0.1284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E_EnerLevlag",0.0144,0.1914,0.217,-0.0251,0.2358,-0.0405,0.114,0.9687,0.38,-0.0656,-0.254,-0.1414,0.223,0.2764,0.2108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E_Scbltylag",0.1507,0.1166,-0.0458,-0.1429,0.0435,-0.0606,0.0553,0.38,0.9049,-0.2443,-0.2295,-0.1464,0.0573,0.2134,0.2193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N_Anxtylag",-0.1081,-0.1842,-0.2602,-0.0243,0.164,-0.0813,-0.2674,-0.0656,-0.2443,0.9897,0.4676,0.4292,-4e-04,-0.1658,-0.0266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
